original_map	hero_kill_map	map_file	hero_kill_file	zircon_map_info	zircon_map_file	relation	size	entrances_exits	city_town_safe_zone_landmarks	hero_kill_walkable	zircon_walkable	coordinate_transform	coordinate_reuse	confidence	evidence
0	0	/home/tetsuya/mir2ei/Map/0.map	/home/tetsuya/mir2ei/Map/0.map	"{""index"": 1, ""file"": ""0"", ""description"": ""Bichon Town""}"	/home/tetsuya/development/zircon/Debug/ServerCore/Map/0.map	variant	"{""hero_kill"": {""width"": 800, ""height"": 800}, ""zircon"": {""width"": 800, ""height"": 800}}"	"{""region_count"": 114, ""region_landmark_samples"": [""0 / Town Area"", ""0 / Bug Cave Entrance"", ""0 / Ant Cave Entrance"", ""0 / Bichon Castle Entrance"", ""0 / Bichon Caves Entrance"", ""0 / Deserted Mines Entrance"", ""0 / Phantom Forest Entrance"", ""0 / Sabuk Wall Entrance"", ""0 / North Way Entrance"", ""0 / Bichon Teleport Landing"", ""0 / Palace Entrance"", ""0 / Player Spawns"", ""0 / 0 / Accessory Store"", ""0 / 0 / Essential Store"", ""0 / 0 / Weapon Store"", ""0 / 0 / Book Store"", ""0 / 0 / Armour Store"", ""0 / 0 / Teleport Stone"", ""0 / 0 / Potion Store"", ""0 / 0 / Butcher Store"", ""0 / 0 / Collector Store"", ""0 / Spawn Ring 1"", ""0 / Spawn Ring 2"", ""0 / Spawn Ring 3"", ""0 / 0 / Stables Store"", ""0 / Grass Area"", ""0 / Teleport Source"", ""0 / Teleport Source"", ""0 / Teleport Source"", ""0 / Teleport Destination"", ""0 / Teleport Destination"", ""0 / Teleport Destination"", ""0 / Teleport Source"", ""0 / Teleport Source"", ""0 / Teleport Source"", ""0 / Teleport Source"", ""0 / Teleport Destination"", ""0 / Teleport Destination"", ""0 / Teleport Destination"", ""0 / Teleport Destination""], ""guard_count"": 23, ""guard_samples"": [""0 / Guard / 122 / 230"", ""0 / Guard / 128 / 241"", ""0 / Guard / 135 / 215"", ""0 / Guard / 143 / 204"", ""0 / Guard / 144 / 246"", ""0 / Guard / 147 / 259"", ""0 / Guard / 153 / 206"", ""0 / Guard / 157 / 270"", ""0 / Guard / 164 / 223"", ""0 / Guard / 167 / 226"", ""0 / Guard / 168 / 259"", ""0 / Guard / 177 / 206""], ""connected_maps"": [""01"", ""02"", ""0_000"", ""0_003"", ""1"", ""3"", ""82"", ""D0002_001"", ""d6015""], ""coordinate_evidence"": ""MapRegion PointRegion centers; no Merchant coordinate snapshot available""}"	"[""0 / Town Area"", ""0 / Bug Cave Entrance"", ""0 / Ant Cave Entrance"", ""0 / Bichon Castle Entrance"", ""0 / Bichon Caves Entrance"", ""0 / Deserted Mines Entrance"", ""0 / Phantom Forest Entrance"", ""0 / Sabuk Wall Entrance"", ""0 / North Way Entrance"", ""0 / Bichon Teleport Landing"", ""0 / Palace Entrance"", ""0 / Player Spawns"", ""0 / 0 / Accessory Store"", ""0 / 0 / Essential Store"", ""0 / 0 / Weapon Store"", ""0 / 0 / Book Store"", ""0 / 0 / Armour Store"", ""0 / 0 / Teleport Stone"", ""0 / 0 / Potion Store"", ""0 / 0 / Butcher Store"", ""0 / 0 / Collector Store"", ""0 / Spawn Ring 1"", ""0 / Spawn Ring 2"", ""0 / Spawn Ring 3"", ""0 / 0 / Stables Store"", ""0 / Grass Area"", ""0 / Teleport Source"", ""0 / Teleport Source"", ""0 / Teleport Source"", ""0 / Teleport Destination"", ""0 / Teleport Destination"", ""0 / Teleport Destination"", ""0 / Teleport Source"", ""0 / Teleport Source"", ""0 / Teleport Source"", ""0 / Teleport Source"", ""0 / Teleport Destination"", ""0 / Teleport Destination"", ""0 / Teleport Destination"", ""0 / Teleport Destination""]"	"{""status"": ""pass"", ""walkable_cells"": 349645, ""total_cells"": 640000, ""walkable_ratio"": 0.54632}"	"{""status"": ""pass"", ""walkable_cells"": 350476, ""total_cells"": 640000, ""walkable_ratio"": 0.547619}"	pending landmark mapping; no blind coordinate reuse	blocked	low	"{""relation"": ""same dimensions, different map bytes"", ""hero_kill_sha256"": ""0e83d6f87a12b4e20d0ff6ade09fc1e4e02be2f733fd9850a92168f397d8dae4"", ""zircon_sha256"": ""6fddcdd5f7e93f226fede0465a53d6e69057bbcc3344f3b682e7ab9ee94d5486""}"
0_000	0_000	/home/tetsuya/mir2ei/Map/0_000.map	/home/tetsuya/mir2ei/Map/0_000.map	"{""index"": 2, ""file"": ""0_000"", ""description"": ""Town Hall""}"	/home/tetsuya/development/zircon/Debug/ServerCore/Map/0_000.map	exact	"{""hero_kill"": {""width"": 70, ""height"": 70}, ""zircon"": {""width"": 70, ""height"": 70}}"	"{""region_count"": 6, ""region_landmark_samples"": [""0_000 / Entrance Door"", ""0_000 / Entrance Landing""], ""guard_count"": 0, ""guard_samples"": [], ""connected_maps"": [""0""], ""coordinate_evidence"": ""MapRegion PointRegion centers; no Merchant coordinate snapshot available""}"	"[""0_000 / Entrance Door"", ""0_000 / Entrance Landing""]"	"{""status"": ""pass"", ""walkable_cells"": 1165, ""total_cells"": 4900, ""walkable_ratio"": 0.237755}"	"{""status"": ""pass"", ""walkable_cells"": 1165, ""total_cells"": 4900, ""walkable_ratio"": 0.237755}"	identity logical-grid coordinates	allowed-after-point-check	high	"{""relation"": ""same local map bytes"", ""hero_kill_sha256"": ""83e81a4532416486191aeb8a1ed0437c02202b5cea2df4074a8508cf7ff7a016"", ""zircon_sha256"": ""83e81a4532416486191aeb8a1ed0437c02202b5cea2df4074a8508cf7ff7a016""}"
0_001	0_001	/home/tetsuya/mir2ei/Map/0_001.map	/home/tetsuya/mir2ei/Map/0_001.map	"{""index"": 3, ""file"": ""0_001"", ""description"": ""Left Wing""}"	/home/tetsuya/development/zircon/Debug/ServerCore/Map/0_001.map	exact	"{""hero_kill"": {""width"": 30, ""height"": 30}, ""zircon"": {""width"": 30, ""height"": 30}}"	"{""region_count"": 2, ""region_landmark_samples"": [], ""guard_count"": 0, ""guard_samples"": [], ""connected_maps"": [], ""coordinate_evidence"": ""MapRegion PointRegion centers; no Merchant coordinate snapshot available""}"	[]	"{""status"": ""pass"", ""walkable_cells"": 63, ""total_cells"": 900, ""walkable_ratio"": 0.07}"	"{""status"": ""pass"", ""walkable_cells"": 63, ""total_cells"": 900, ""walkable_ratio"": 0.07}"	identity logical-grid coordinates	allowed-after-point-check	high	"{""relation"": ""same local map bytes"", ""hero_kill_sha256"": ""2b1c7e4d90ca18b8e1bdf6326351e2833c94f0a1705d1fa76878fcb0258a01a6"", ""zircon_sha256"": ""2b1c7e4d90ca18b8e1bdf6326351e2833c94f0a1705d1fa76878fcb0258a01a6""}"
0_002	0_002	/home/tetsuya/mir2ei/Map/0_002.map	/home/tetsuya/mir2ei/Map/0_002.map	"{""index"": 4, ""file"": ""0_002"", ""description"": ""Right Wing""}"	/home/tetsuya/development/zircon/Debug/ServerCore/Map/0_002.map	exact	"{""hero_kill"": {""width"": 20, ""height"": 20}, ""zircon"": {""width"": 20, ""height"": 20}}"	"{""region_count"": 0, ""region_landmark_samples"": [], ""guard_count"": 0, ""guard_samples"": [], ""connected_maps"": [], ""coordinate_evidence"": ""MapRegion PointRegion centers; no Merchant coordinate snapshot available""}"	[]	"{""status"": ""pending"", ""walkable_cells"": null, ""total_cells"": null, ""walkable_ratio"": null}"	"{""status"": ""pending"", ""walkable_cells"": null, ""total_cells"": null, ""walkable_ratio"": null}"	identity logical-grid coordinates	allowed-after-point-check	high	"{""relation"": ""same local map bytes"", ""hero_kill_sha256"": ""69a1c2610df514b0f5fc39d2bd8c5f669b661030f459048260b72de41b0ad0f6"", ""zircon_sha256"": ""69a1c2610df514b0f5fc39d2bd8c5f669b661030f459048260b72de41b0ad0f6""}"
1	1	/home/tetsuya/mir2ei/Map/1.map	/home/tetsuya/mir2ei/Map/1.map	"{""index"": 5, ""file"": ""1"", ""description"": ""Lost Paradise""}"	/home/tetsuya/development/zircon/Debug/ServerCore/Map/1.map	variant	"{""hero_kill"": {""width"": 600, ""height"": 600}, ""zircon"": {""width"": 600, ""height"": 600}}"	"{""region_count"": 116, ""region_landmark_samples"": [""1 / Town Area"", ""1 / 1 / Teleport Stone"", ""1 / 1 / Potion Store"", ""1 / 1 / Collector Store"", ""1 / 1 / Butcher Store"", ""1 / 1 / Essential Store"", ""1 / 1 / Accessory Store"", ""1 / 1 / Armour Store"", ""1 / 1 / Book Store"", ""1 / 1 / Weapon Store"", ""1 / Player Spawns"", ""1 / Teleport Landing"", ""1 / Spawn Ring 1"", ""1 / Spawn Ring 2"", ""1 / Spawn Ring 3"", ""1 / Desert Area"", ""1 / Grass Area"", ""1 / Teleport Source"", ""1 / Teleport Destination"", ""1 / Teleport Source"", ""1 / Teleport Destination"", ""1 / Teleport Source"", ""1 / Teleport Destination"", ""1 / Teleport Source"", ""1 / Teleport Destination"", ""1 / Teleport Source"", ""1 / Teleport Destination"", ""1 / Teleport Source"", ""1 / Teleport Destination"", ""1 / Teleport Source"", ""1 / Teleport Destination"", ""1 / Teleport Source"", ""1 / Teleport Source"", ""1 / Teleport Destination"", ""1 / Teleport Destination"", ""1 / Teleport Source"", ""1 / Teleport Source"", ""1 / Teleport Source"", ""1 / Teleport Destination"", ""1 / Teleport Destination""], ""guard_count"": 15, ""guard_samples"": [""1 / Guard / 184 / 201"", ""1 / Guard / 190 / 220"", ""1 / Guard / 194 / 208"", ""1 / Guard / 203 / 191"", ""1 / Guard / 371 / 160"", ""1 / Guard / 375 / 164"", ""1 / Guard / 368 / 112"", ""1 / Guard / 372 / 108"", ""1 / Guard / 414 / 166"", ""1 / Guard / 417 / 163"", ""1 / Guard / 411 / 115"", ""1 / Guard / 414 / 118""], ""connected_maps"": [""0"", ""12"", ""1_001"", ""1_002"", ""1_003"", ""1_004"", ""1_005"", ""1_006"", ""1_007"", ""1_008"", ""1_009"", ""1_019"", ""D021"", ""D023""], ""coordinate_evidence"": ""MapRegion PointRegion centers; no Merchant coordinate snapshot available""}"	"[""1 / Town Area"", ""1 / 1 / Teleport Stone"", ""1 / 1 / Potion Store"", ""1 / 1 / Collector Store"", ""1 / 1 / Butcher Store"", ""1 / 1 / Essential Store"", ""1 / 1 / Accessory Store"", ""1 / 1 / Armour Store"", ""1 / 1 / Book Store"", ""1 / 1 / Weapon Store"", ""1 / Player Spawns"", ""1 / Teleport Landing"", ""1 / Spawn Ring 1"", ""1 / Spawn Ring 2"", ""1 / Spawn Ring 3"", ""1 / Desert Area"", ""1 / Grass Area"", ""1 / Teleport Source"", ""1 / Teleport Destination"", ""1 / Teleport Source"", ""1 / Teleport Destination"", ""1 / Teleport Source"", ""1 / Teleport Destination"", ""1 / Teleport Source"", ""1 / Teleport Destination"", ""1 / Teleport Source"", ""1 / Teleport Destination"", ""1 / Teleport Source"", ""1 / Teleport Destination"", ""1 / Teleport Source"", ""1 / Teleport Destination"", ""1 / Teleport Source"", ""1 / Teleport Source"", ""1 / Teleport Destination"", ""1 / Teleport Destination"", ""1 / Teleport Source"", ""1 / Teleport Source"", ""1 / Teleport Source"", ""1 / Teleport Destination"", ""1 / Teleport Destination""]"	"{""status"": ""pass"", ""walkable_cells"": 139734, ""total_cells"": 360000, ""walkable_ratio"": 0.38815}"	"{""status"": ""pass"", ""walkable_cells"": 141788, ""total_cells"": 360000, ""walkable_ratio"": 0.393856}"	pending landmark mapping; no blind coordinate reuse	blocked	low	"{""relation"": ""same dimensions, different map bytes"", ""hero_kill_sha256"": ""0d472ee80385a1169de9efacd108da1c20d7350be58a0b315c27022122d6082c"", ""zircon_sha256"": ""20fcf7ebc2a7f67a784b87a962cfd10388a89ea478a912508b21d0825193eb6a""}"
2	2	/home/tetsuya/mir2ei/Map/2.map	/home/tetsuya/mir2ei/Map/2.map	"{""index"": 6, ""file"": ""2"", ""description"": ""Banya Village""}"	/home/tetsuya/development/zircon/Debug/ServerCore/Map/2.map	exact	"{""hero_kill"": {""width"": 400, ""height"": 400}, ""zircon"": {""width"": 400, ""height"": 400}}"	"{""region_count"": 55, ""region_landmark_samples"": [""2 / Town Area"", ""2 / Player Spawns"", ""2 / 2 / Teleport Stone"", ""2 / Teleport Landing"", ""2 / 2 / Weapon Store"", ""2 / 2 / Armour Store"", ""2 / 2 / Collector Store"", ""2 / 2 / Accessory Store"", ""2 / 2 / Potion Store"", ""2 / 2 / Butcher Store"", ""2 / 2 / Book Store"", ""2 / 2 / Essential Store"", ""2 / Grass Area"", ""2 / Desert Area"", ""2 / Spawn Ring 1"", ""2 / Spawn Ring 2"", ""2 / Spawn Ring 3"", ""2 / Teleport Source"", ""2 / Teleport Source"", ""2 / Teleport Source"", ""2 / Teleport Destination"", ""2 / Teleport Destination"", ""2 / Teleport Destination"", ""2 / Teleport Destination"", ""2 / Teleport Source"", ""2 / Teleport Source"", ""2 / Teleport Source"", ""2 / Teleport Destination"", ""2 / Teleport Destination"", ""2 / Teleport Destination"", ""2 / Teleport Destination"", ""2 / Teleport Source"", ""2 / Teleport Destination"", ""2 / Teleport Source"", ""2 / Teleport Destination"", ""2 / Teleport Source"", ""2 / Teleport Destination""], ""guard_count"": 7, ""guard_samples"": [""2 / Guard / 132 / 159"", ""2 / Guard / 135 / 166"", ""2 / Guard / 141 / 147"", ""2 / Guard / 146 / 180"", ""2 / Guard / 158 / 181"", ""2 / Guard / 166 / 139"", ""2 / Guard / 170 / 169""], ""connected_maps"": [""31"", ""D421"", ""D431"", ""D451""], ""coordinate_evidence"": ""MapRegion PointRegion centers; no Merchant coordinate snapshot available""}"	"[""2 / Town Area"", ""2 / Player Spawns"", ""2 / 2 / Teleport Stone"", ""2 / Teleport Landing"", ""2 / 2 / Weapon Store"", ""2 / 2 / Armour Store"", ""2 / 2 / Collector Store"", ""2 / 2 / Accessory Store"", ""2 / 2 / Potion Store"", ""2 / 2 / Butcher Store"", ""2 / 2 / Book Store"", ""2 / 2 / Essential Store"", ""2 / Grass Area"", ""2 / Desert Area"", ""2 / Spawn Ring 1"", ""2 / Spawn Ring 2"", ""2 / Spawn Ring 3"", ""2 / Teleport Source"", ""2 / Teleport Source"", ""2 / Teleport Source"", ""2 / Teleport Destination"", ""2 / Teleport Destination"", ""2 / Teleport Destination"", ""2 / Teleport Destination"", ""2 / Teleport Source"", ""2 / Teleport Source"", ""2 / Teleport Source"", ""2 / Teleport Destination"", ""2 / Teleport Destination"", ""2 / Teleport Destination"", ""2 / Teleport Destination"", ""2 / Teleport Source"", ""2 / Teleport Destination"", ""2 / Teleport Source"", ""2 / Teleport Destination"", ""2 / Teleport Source"", ""2 / Teleport Destination""]"	"{""status"": ""pass"", ""walkable_cells"": 45608, ""total_cells"": 160000, ""walkable_ratio"": 0.28505}"	"{""status"": ""pass"", ""walkable_cells"": 45608, ""total_cells"": 160000, ""walkable_ratio"": 0.28505}"	identity logical-grid coordinates	allowed-after-point-check	high	"{""relation"": ""same local map bytes"", ""hero_kill_sha256"": ""8bc5205dd15ddd9968dc264324d510cba756152724f8e266f7ffcb6f56ceb55f"", ""zircon_sha256"": ""8bc5205dd15ddd9968dc264324d510cba756152724f8e266f7ffcb6f56ceb55f""}"
3	3	/home/tetsuya/mir2ei/Map/3.map	/home/tetsuya/mir2ei/Map/3.map	"{""index"": 7, ""file"": ""3"", ""description"": ""Sabuk Keep""}"	/home/tetsuya/development/zircon/Debug/ServerCore/Map/3.map	replacement	"{""hero_kill"": {""width"": 400, ""height"": 600}, ""zircon"": {""width"": 350, ""height"": 350}}"	"{""region_count"": 53, ""region_landmark_samples"": [""3 / Sabuk Area"", ""3 / Flag Area"", ""3 / Teleport Area Left"", ""3 / Teleport Stone Left"", ""3 / Teleport Landing Left"", ""3 / Bichon Town Door"", ""3 / Bichon Town Landing"", ""3 / Teleport Stone Castle"", ""3 / Teleport Landing Castle"", ""3 / Potion Store"", ""3 / Armour Store"", ""3 / Accessory Store"", ""3 / Essential Store"", ""3 / Weapon Store"", ""3 / Collector Store"", ""3 / 仓库系统"", ""3 / 传送沙城"", ""3 / 传送沙城1"", ""3 / 传送沙城2"", ""3 / 传送沙城3"", ""3 / 沙城官吏"", ""3 / 沙城旗帜"", ""3 / Teleport Destination"", ""3 / Teleport Destination"", ""3 / Teleport Destination"", ""3 / Teleport Destination"", ""3 / Teleport Source"", ""3 / Teleport Source"", ""3 / Teleport Source"", ""3 / Teleport Source"", ""3 / Teleport Source"", ""3 / Teleport Destination"", ""3 / Teleport Source"", ""3 / Teleport Source"", ""3 / Teleport Source"", ""3 / Teleport Destination"", ""3 / Teleport Source"", ""3 / Teleport Source"", ""3 / Teleport Source"", ""3 / Teleport Source""], ""guard_count"": 0, ""guard_samples"": [], ""connected_maps"": [""0""], ""coordinate_evidence"": ""MapRegion PointRegion centers; no Merchant coordinate snapshot available""}"	"[""3 / Sabuk Area"", ""3 / Flag Area"", ""3 / Teleport Area Left"", ""3 / Teleport Stone Left"", ""3 / Teleport Landing Left"", ""3 / Bichon Town Door"", ""3 / Bichon Town Landing"", ""3 / Teleport Stone Castle"", ""3 / Teleport Landing Castle"", ""3 / Potion Store"", ""3 / Armour Store"", ""3 / Accessory Store"", ""3 / Essential Store"", ""3 / Weapon Store"", ""3 / Collector Store"", ""3 / 仓库系统"", ""3 / 传送沙城"", ""3 / 传送沙城1"", ""3 / 传送沙城2"", ""3 / 传送沙城3"", ""3 / 沙城官吏"", ""3 / 沙城旗帜"", ""3 / Teleport Destination"", ""3 / Teleport Destination"", ""3 / Teleport Destination"", ""3 / Teleport Destination"", ""3 / Teleport Source"", ""3 / Teleport Source"", ""3 / Teleport Source"", ""3 / Teleport Source"", ""3 / Teleport Source"", ""3 / Teleport Destination"", ""3 / Teleport Source"", ""3 / Teleport Source"", ""3 / Teleport Source"", ""3 / Teleport Destination"", ""3 / Teleport Source"", ""3 / Teleport Source"", ""3 / Teleport Source"", ""3 / Teleport Source""]"	"{""status"": ""pass"", ""walkable_cells"": 103872, ""total_cells"": 240000, ""walkable_ratio"": 0.4328}"	"{""status"": ""pass"", ""walkable_cells"": 78060, ""total_cells"": 122500, ""walkable_ratio"": 0.637224}"	pending landmark mapping; no blind coordinate reuse	blocked	low	"{""relation"": ""different dimensions and bytes"", ""hero_kill_sha256"": ""16ab59c87042ab49e7b2e9587516891badbd998ae635a5760db654586d6cebf8"", ""zircon_sha256"": ""e92feb5e1e1fbaa297fb2f39dc2a5c5338564d27278737fbed590a68ba89717d""}"
4	4	/home/tetsuya/mir2ei/Map/4.map	/home/tetsuya/mir2ei/Map/4.map	"{""index"": 8, ""file"": ""4"", ""description"": ""Numa Village""}"	/home/tetsuya/development/zircon/Debug/ServerCore/Map/4.map	exact	"{""hero_kill"": {""width"": 800, ""height"": 800}, ""zircon"": {""width"": 800, ""height"": 800}}"	"{""region_count"": 95, ""region_landmark_samples"": [""4 / Safe Zone"", ""4 / Player Spawn Area"", ""4 / 4 / Teleport Stone"", ""4 / Teleport Landing"", ""4 / 4 / Potion Store"", ""4 / 4 / Collector Store"", ""4 / 4 / Weapon Store"", ""4 / 4 / Accessory Store"", ""4 / 4 / Essential Store"", ""4 / 4 / Armour Store"", ""4 / Spawn Ring 1"", ""4 / Spawn Ring 2"", ""4 / Teleport Source"", ""4 / Teleport Destination"", ""4 / Teleport Source"", ""4 / Teleport Destination"", ""4 / Teleport Source"", ""4 / Teleport Destination"", ""4 / Teleport Source"", ""4 / Teleport Destination"", ""4 / Teleport Source"", ""4 / Teleport Destination"", ""4 / Teleport Source"", ""4 / Teleport Destination"", ""4 / Teleport Source"", ""4 / Teleport Source"", ""4 / Teleport Source"", ""4 / Teleport Source"", ""4 / Teleport Source"", ""4 / Teleport Source"", ""4 / Teleport Source"", ""4 / Teleport Source"", ""4 / Teleport Source"", ""4 / Teleport Source"", ""4 / Teleport Source"", ""4 / Teleport Source"", ""4 / Teleport Source"", ""4 / Teleport Destination"", ""4 / Teleport Destination"", ""4 / Teleport Destination""], ""guard_count"": 0, ""guard_samples"": [], ""connected_maps"": [""41"", ""44"", ""4_001"", ""4_002"", ""4_003"", ""4_004"", ""4_005"", ""6"", ""D8102"", ""D8202""], ""coordinate_evidence"": ""MapRegion PointRegion centers; no Merchant coordinate snapshot available""}"	"[""4 / Safe Zone"", ""4 / Player Spawn Area"", ""4 / 4 / Teleport Stone"", ""4 / Teleport Landing"", ""4 / 4 / Potion Store"", ""4 / 4 / Collector Store"", ""4 / 4 / Weapon Store"", ""4 / 4 / Accessory Store"", ""4 / 4 / Essential Store"", ""4 / 4 / Armour Store"", ""4 / Spawn Ring 1"", ""4 / Spawn Ring 2"", ""4 / Teleport Source"", ""4 / Teleport Destination"", ""4 / Teleport Source"", ""4 / Teleport Destination"", ""4 / Teleport Source"", ""4 / Teleport Destination"", ""4 / Teleport Source"", ""4 / Teleport Destination"", ""4 / Teleport Source"", ""4 / Teleport Destination"", ""4 / Teleport Source"", ""4 / Teleport Destination"", ""4 / Teleport Source"", ""4 / Teleport Source"", ""4 / Teleport Source"", ""4 / Teleport Source"", ""4 / Teleport Source"", ""4 / Teleport Source"", ""4 / Teleport Source"", ""4 / Teleport Source"", ""4 / Teleport Source"", ""4 / Teleport Source"", ""4 / Teleport Source"", ""4 / Teleport Source"", ""4 / Teleport Source"", ""4 / Teleport Destination"", ""4 / Teleport Destination"", ""4 / Teleport Destination""]"	"{""status"": ""pass"", ""walkable_cells"": 233409, ""total_cells"": 640000, ""walkable_ratio"": 0.364702}"	"{""status"": ""pass"", ""walkable_cells"": 233409, ""total_cells"": 640000, ""walkable_ratio"": 0.364702}"	identity logical-grid coordinates	allowed-after-point-check	high	"{""relation"": ""same local map bytes"", ""hero_kill_sha256"": ""a7e55157fbe4e84a30df88838b03c09a505f0750bd7fe1131f3cf7880e572a3a"", ""zircon_sha256"": ""a7e55157fbe4e84a30df88838b03c09a505f0750bd7fe1131f3cf7880e572a3a""}"
5	5	/home/tetsuya/mir2ei/Map/5.map	/home/tetsuya/mir2ei/Map/5.map	"{""index"": 9, ""file"": ""5"", ""description"": ""Desert Mud Fortress""}"	/home/tetsuya/development/zircon/Debug/ServerCore/Map/5.map	replacement	"{""hero_kill"": {""width"": 400, ""height"": 400}, ""zircon"": {""width"": 350, ""height"": 350}}"	"{""region_count"": 69, ""region_landmark_samples"": [""5 / Teleport Area"", ""5 / 5 / Teleport Stone Left"", ""5 / Teleport Landing Left"", ""5 / 5 / Teleport Stone Castle"", ""5 / Teleport Landing Castle"", ""5 / 5 / Weapon Store"", ""5 / 5 / Essential Store"", ""5 / 5 / Collector Store"", ""5 / 5 / Accessory Store"", ""5 / 5 / Potion Store"", ""5 / 5 / Armour Store"", ""5 / Castle Area"", ""5 / Flag Area"", ""5 / Teleport Source"", ""5 / Teleport Destination"", ""5 / Teleport Source"", ""5 / Teleport Destination"", ""5 / Teleport Source"", ""5 / Teleport Destination"", ""5 / Teleport Source"", ""5 / Teleport Destination"", ""5 / Teleport Source"", ""5 / Teleport Destination"", ""5 / Teleport Source"", ""5 / Teleport Destination"", ""5 / Teleport Source"", ""5 / Teleport Destination"", ""5 / Teleport Source"", ""5 / Teleport Destination"", ""5 / Teleport Source"", ""5 / Teleport Destination"", ""5 / Teleport Source"", ""5 / Teleport Destination"", ""5 / Teleport Source"", ""5 / Teleport Destination"", ""5 / Teleport Source"", ""5 / Teleport Destination"", ""5 / 传送土城"", ""5 / Teleport Source"", ""5 / Teleport Source""], ""guard_count"": 0, ""guard_samples"": [], ""connected_maps"": [""5_0011"", ""5_0012"", ""5_0013"", ""5_002"", ""5_003"", ""5_004"", ""5_005"", ""5_006"", ""6"", ""D1301"", ""D505"", ""d15023"", ""d1510"", ""d1602""], ""coordinate_evidence"": ""MapRegion PointRegion centers; no Merchant coordinate snapshot available""}"	"[""5 / Teleport Area"", ""5 / 5 / Teleport Stone Left"", ""5 / Teleport Landing Left"", ""5 / 5 / Teleport Stone Castle"", ""5 / Teleport Landing Castle"", ""5 / 5 / Weapon Store"", ""5 / 5 / Essential Store"", ""5 / 5 / Collector Store"", ""5 / 5 / Accessory Store"", ""5 / 5 / Potion Store"", ""5 / 5 / Armour Store"", ""5 / Castle Area"", ""5 / Flag Area"", ""5 / Teleport Source"", ""5 / Teleport Destination"", ""5 / Teleport Source"", ""5 / Teleport Destination"", ""5 / Teleport Source"", ""5 / Teleport Destination"", ""5 / Teleport Source"", ""5 / Teleport Destination"", ""5 / Teleport Source"", ""5 / Teleport Destination"", ""5 / Teleport Source"", ""5 / Teleport Destination"", ""5 / Teleport Source"", ""5 / Teleport Destination"", ""5 / Teleport Source"", ""5 / Teleport Destination"", ""5 / Teleport Source"", ""5 / Teleport Destination"", ""5 / Teleport Source"", ""5 / Teleport Destination"", ""5 / Teleport Source"", ""5 / Teleport Destination"", ""5 / Teleport Source"", ""5 / Teleport Destination"", ""5 / 传送土城"", ""5 / Teleport Source"", ""5 / Teleport Source""]"	"{""status"": ""pass"", ""walkable_cells"": 60182, ""total_cells"": 160000, ""walkable_ratio"": 0.376138}"	"{""status"": ""pass"", ""walkable_cells"": 65379, ""total_cells"": 122500, ""walkable_ratio"": 0.533706}"	pending landmark mapping; no blind coordinate reuse	blocked	low	"{""relation"": ""different dimensions and bytes"", ""hero_kill_sha256"": ""84a2edc31a66580273d4a5f46841b1b99575d6b599711c3aa15a61ba8850dde7"", ""zircon_sha256"": ""da97d1d7d70a1c9bdabc786bc8a5d27708ab78eb0c21a458395a9487ff8fa84c""}"
D001	D001	/home/tetsuya/mir2ei/Map/D001.map	/home/tetsuya/mir2ei/Map/D001.map	"{""index"": 12, ""file"": ""D001"", ""description"": ""Phantom Forest""}"	/home/tetsuya/development/zircon/Debug/ServerCore/Map/D001.map	exact	"{""hero_kill"": {""width"": 400, ""height"": 400}, ""zircon"": {""width"": 400, ""height"": 400}}"	"{""region_count"": 16, ""region_landmark_samples"": [""D001 / Bichon Town Door"", ""D001 / Bichon Town Landing"", ""D001 / Respawn Areas"", ""D001 / Teleport Destination"", ""D001 / Teleport Source""], ""guard_count"": 0, ""guard_samples"": [], ""connected_maps"": [""D001_001""], ""coordinate_evidence"": ""MapRegion PointRegion centers; no Merchant coordinate snapshot available""}"	"[""D001 / Bichon Town Door"", ""D001 / Bichon Town Landing"", ""D001 / Respawn Areas"", ""D001 / Teleport Destination"", ""D001 / Teleport Source""]"	"{""status"": ""pass"", ""walkable_cells"": 49481, ""total_cells"": 160000, ""walkable_ratio"": 0.309256}"	"{""status"": ""pass"", ""walkable_cells"": 49481, ""total_cells"": 160000, ""walkable_ratio"": 0.309256}"	identity logical-grid coordinates	allowed-after-point-check	high	"{""relation"": ""same local map bytes"", ""hero_kill_sha256"": ""276c6fd1d6ebd057d9c37e45e26bb0b361045b49ce3ab5aff246292a639776ee"", ""zircon_sha256"": ""276c6fd1d6ebd057d9c37e45e26bb0b361045b49ce3ab5aff246292a639776ee""}"
