hero_kill_monster_id	hero_kill_monster_name	legacy_atlas_entry	hero_kill_definition	current_monster_info	zircon_catalog_entry	image_shape_evidence	evidence_status	mapping_is_identity_not_translation
1	守卫武将	"{""index"": 1, ""name"": ""守卫武将"", ""level"": ""99"", ""hp"": ""215"", ""dc"": ""77-84"", ""exp"": ""540"", ""tag"": ""old-only"", ""note"": ""old-only 老版 lvl=99/DC 77-84；Zircon 城镇守卫体系重做，无直接对应""}"	"{""Index"": 1, ""Name"": ""守卫武将"", ""Appr"": 81, ""Race"": 19, ""RaceImg"": 140, ""Level"": 99, ""HP"": 215, ""Exp"": 540, ""ACMin"": 9, ""ACMax"": 9, ""MAC"": 27, ""DCMin"": 77, ""DCMax"": 84, ""DropTable"": 15, ""tag"": ""old-only"", ""tag_note"": ""老版 lvl=99/DC 77-84；Zircon 城镇守卫体系重做，无直接对应""}"			"{""legacy"": {""appr"": 81, ""race"": 19, ""race_img"": 140, ""library_file"": ""Mon-8.wil"", ""frame"": 1040, ""note"": ""legacy Appr/frame convention from dat_integrate.py; not a Zircon MonsterImage shape""}, ""current"": null, ""status"": ""current-image-not-in-MonsterLookup""}"	legacy-atlas-old-only-no-automatic-map	True
2	守卫狮子	"{""index"": 2, ""name"": ""守卫狮子"", ""level"": ""99"", ""hp"": ""1900"", ""dc"": ""99-121"", ""exp"": ""2600"", ""tag"": ""unverified"", ""note"": ""unverified 未做全量名映射，有无 Zircon 对应待查""}"	"{""Index"": 2, ""Name"": ""守卫狮子"", ""Appr"": 221, ""Race"": 19, ""RaceImg"": 160, ""Level"": 99, ""HP"": 1900, ""Exp"": 2600, ""ACMin"": 28, ""ACMax"": 28, ""MAC"": 55, ""DCMin"": 99, ""DCMax"": 121, ""DropTable"": 15, ""tag"": ""unverified"", ""tag_note"": ""未做全量名映射，有无 Zircon 对应待查""}"			"{""legacy"": {""appr"": 221, ""race"": 19, ""race_img"": 160, ""library_file"": ""Mon-22.wil"", ""frame"": 1040, ""note"": ""legacy Appr/frame convention from dat_integrate.py; not a Zircon MonsterImage shape""}, ""current"": null, ""status"": ""current-image-not-in-MonsterLookup""}"	legacy-atlas-unverified	True
3	守卫血魔	"{""index"": 3, ""name"": ""守卫血魔"", ""level"": ""99"", ""hp"": ""310"", ""dc"": ""105-96"", ""exp"": ""920"", ""tag"": ""unverified"", ""note"": ""unverified 未做全量名映射，有无 Zircon 对应待查""}"	"{""Index"": 3, ""Name"": ""守卫血魔"", ""Appr"": 97, ""Race"": 19, ""RaceImg"": 108, ""Level"": 99, ""HP"": 310, ""Exp"": 920, ""ACMin"": 8, ""ACMax"": 8, ""MAC"": 53, ""DCMin"": 105, ""DCMax"": 96, ""DropTable"": 15, ""tag"": ""unverified"", ""tag_note"": ""未做全量名映射，有无 Zircon 对应待查""}"			"{""legacy"": {""appr"": 97, ""race"": 19, ""race_img"": 108, ""library_file"": ""Mon-9.wil"", ""frame"": 7040, ""note"": ""legacy Appr/frame convention from dat_integrate.py; not a Zircon MonsterImage shape""}, ""current"": null, ""status"": ""current-image-not-in-MonsterLookup""}"	legacy-atlas-unverified	True
4	守卫沃玛	"{""index"": 4, ""name"": ""守卫沃玛"", ""level"": ""99"", ""hp"": ""170"", ""dc"": ""31-62"", ""exp"": ""520"", ""tag"": ""unverified"", ""note"": ""unverified 未做全量名映射，有无 Zircon 对应待查""}"	"{""Index"": 4, ""Name"": ""守卫沃玛"", ""Appr"": 91, ""Race"": 20, ""RaceImg"": 43, ""Level"": 99, ""HP"": 170, ""Exp"": 520, ""ACMin"": 8, ""ACMax"": 8, ""MAC"": 24, ""DCMin"": 31, ""DCMax"": 62, ""DropTable"": 15, ""tag"": ""unverified"", ""tag_note"": ""未做全量名映射，有无 Zircon 对应待查""}"			"{""legacy"": {""appr"": 91, ""race"": 20, ""race_img"": 43, ""library_file"": ""Mon-9.wil"", ""frame"": 1040, ""note"": ""legacy Appr/frame convention from dat_integrate.py; not a Zircon MonsterImage shape""}, ""current"": null, ""status"": ""current-image-not-in-MonsterLookup""}"	legacy-atlas-unverified	True
5	守卫右狮	"{""index"": 5, ""name"": ""守卫右狮"", ""level"": ""99"", ""hp"": ""1400"", ""dc"": ""77-110"", ""exp"": ""2800"", ""tag"": ""unverified"", ""note"": ""unverified 未做全量名映射，有无 Zircon 对应待查""}"	"{""Index"": 5, ""Name"": ""守卫右狮"", ""Appr"": 214, ""Race"": 19, ""RaceImg"": 130, ""Level"": 99, ""HP"": 1400, ""Exp"": 2800, ""ACMin"": 14, ""ACMax"": 14, ""MAC"": 48, ""DCMin"": 77, ""DCMax"": 110, ""DropTable"": 15, ""tag"": ""unverified"", ""tag_note"": ""未做全量名映射，有无 Zircon 对应待查""}"			"{""legacy"": {""appr"": 214, ""race"": 19, ""race_img"": 130, ""library_file"": ""Mon-21.wil"", ""frame"": 4040, ""note"": ""legacy Appr/frame convention from dat_integrate.py; not a Zircon MonsterImage shape""}, ""current"": null, ""status"": ""current-image-not-in-MonsterLookup""}"	legacy-atlas-unverified	True
6	署箭	"{""index"": 6, ""name"": ""署箭"", ""level"": ""73"", ""hp"": ""1"", ""dc"": ""8-29"", ""exp"": ""750"", ""tag"": ""unverified"", ""note"": ""unverified 未做全量名映射，有无 Zircon 对应待查""}"	"{""Index"": 6, ""Name"": ""署箭"", ""Appr"": 81, ""Race"": 19, ""RaceImg"": 53, ""Level"": 73, ""HP"": 1, ""Exp"": 750, ""ACMin"": 4, ""ACMax"": 4, ""MAC"": 9, ""DCMin"": 8, ""DCMax"": 29, ""DropTable"": 0, ""tag"": ""unverified"", ""tag_note"": ""未做全量名映射，有无 Zircon 对应待查""}"			"{""legacy"": {""appr"": 81, ""race"": 19, ""race_img"": 53, ""library_file"": ""Mon-8.wil"", ""frame"": 1040, ""note"": ""legacy Appr/frame convention from dat_integrate.py; not a Zircon MonsterImage shape""}, ""current"": null, ""status"": ""current-image-not-in-MonsterLookup""}"	legacy-atlas-unverified	True
7	沃玛战将61	"{""index"": 7, ""name"": ""沃玛战将61"", ""level"": ""25"", ""hp"": ""1"", ""dc"": ""15-25"", ""exp"": ""240"", ""tag"": ""old-only"", ""note"": ""old-only 老版变体（数值微调/活动/强化版），Zircon 无对应""}"	"{""Index"": 7, ""Name"": ""沃玛战将61"", ""Appr"": 81, ""Race"": 19, ""RaceImg"": 91, ""Level"": 25, ""HP"": 1, ""Exp"": 240, ""ACMin"": 4, ""ACMax"": 4, ""MAC"": 7, ""DCMin"": 15, ""DCMax"": 25, ""DropTable"": 0, ""tag"": ""old-only"", ""tag_note"": ""老版变体（数值微调/活动/强化版），Zircon 无对应""}"			"{""legacy"": {""appr"": 81, ""race"": 19, ""race_img"": 91, ""library_file"": ""Mon-8.wil"", ""frame"": 1040, ""note"": ""legacy Appr/frame convention from dat_integrate.py; not a Zircon MonsterImage shape""}, ""current"": null, ""status"": ""current-image-not-in-MonsterLookup""}"	legacy-atlas-old-only-no-automatic-map	True
8	赤月恶魔	"{""index"": 8, ""name"": ""赤月恶魔"", ""level"": ""93"", ""hp"": ""13000"", ""dc"": ""90-180"", ""exp"": ""9750"", ""tag"": ""changed"", ""note"": ""changed → Red Moon The Fallen (id=75)""}"	"{""Index"": 8, ""Name"": ""赤月恶魔"", ""Appr"": 115, ""Race"": 34, ""RaceImg"": 104, ""Level"": 93, ""HP"": 13000, ""Exp"": 9750, ""ACMin"": 52, ""ACMax"": 52, ""MAC"": 100, ""DCMin"": 90, ""DCMax"": 180, ""DropTable"": 15, ""tag"": ""changed"", ""tag_note"": ""→ Red Moon The Fallen (id=75)""}"	"{""index"": 75, ""name"": ""Red Moon The Fallen"", ""image"": ""RedMoonTheFallen"", ""level"": 250, ""is_boss"": true, ""stats"": {""Health"": 19500, ""MinAC"": 51, ""MaxAC"": 51, ""MinMR"": 58, ""MaxMR"": 58, ""MinDC"": 240, ""MaxDC"": 345, ""Accuracy"": 40, ""Agility"": 48}}"	"{""id"": 75, ""name"": ""Red Moon The Fallen"", ""level"": 250, ""stats"": ""性：生命 +19500 · 物防 51-51 · 魔防 58-58 · 物攻 240-345 · 命中 +40 · 敏捷 +48 · 火抗 +5 · 冰抗 +5 · 雷抗 +3 · 风抗 +4 · 神圣抗性 +5 · 暗黑抗性 +3 · 幻影抗性 +2 · 幻影亲和 +1"", ""feat"": ""征：Boss、亡灵 · 视野 15 · 攻击间隔 900ms · 经验 487500""}"	"{""legacy"": {""appr"": 115, ""race"": 34, ""race_img"": 104, ""library_file"": ""Mon-11.wil"", ""frame"": 5040, ""note"": ""legacy Appr/frame convention from dat_integrate.py; not a Zircon MonsterImage shape""}, ""current"": {""monster_image"": ""RedMoonTheFallen"", ""enum_value"": 114, ""library_file"": ""Mon_11"", ""shape"": 4}, ""status"": ""resolved""}"	legacy-atlas-changed-confirmed	True
9	火焰狮子	"{""index"": 9, ""name"": ""火焰狮子"", ""level"": ""48"", ""hp"": ""3600"", ""dc"": ""50-60"", ""exp"": ""1600"", ""tag"": ""unverified"", ""note"": ""unverified 未做全量名映射，有无 Zircon 对应待查""}"	"{""Index"": 9, ""Name"": ""火焰狮子"", ""Appr"": 224, ""Race"": 19, ""RaceImg"": 159, ""Level"": 48, ""HP"": 3600, ""Exp"": 1600, ""ACMin"": 11, ""ACMax"": 11, ""MAC"": 13, ""DCMin"": 50, ""DCMax"": 60, ""DropTable"": 0, ""tag"": ""unverified"", ""tag_note"": ""未做全量名映射，有无 Zircon 对应待查""}"			"{""legacy"": {""appr"": 224, ""race"": 19, ""race_img"": 159, ""library_file"": ""Mon-22.wil"", ""frame"": 4040, ""note"": ""legacy Appr/frame convention from dat_integrate.py; not a Zircon MonsterImage shape""}, ""current"": null, ""status"": ""current-image-not-in-MonsterLookup""}"	legacy-atlas-unverified	True
10	血巨人	"{""index"": 10, ""name"": ""血巨人"", ""level"": ""40"", ""hp"": ""1580"", ""dc"": ""33-47"", ""exp"": ""420"", ""tag"": ""unverified"", ""note"": ""unverified 未做全量名映射，有无 Zircon 对应待查""}"	"{""Index"": 10, ""Name"": ""血巨人"", ""Appr"": 97, ""Race"": 19, ""RaceImg"": 107, ""Level"": 40, ""HP"": 1580, ""Exp"": 420, ""ACMin"": 4, ""ACMax"": 4, ""MAC"": 11, ""DCMin"": 33, ""DCMax"": 47, ""DropTable"": 0, ""tag"": ""unverified"", ""tag_note"": ""未做全量名映射，有无 Zircon 对应待查""}"			"{""legacy"": {""appr"": 97, ""race"": 19, ""race_img"": 107, ""library_file"": ""Mon-9.wil"", ""frame"": 7040, ""note"": ""legacy Appr/frame convention from dat_integrate.py; not a Zircon MonsterImage shape""}, ""current"": null, ""status"": ""current-image-not-in-MonsterLookup""}"	legacy-atlas-unverified	True
