hero_kill_monster_id	hero_kill_monster_name	hero_kill_attributes	mapped_zircon_monster_index	mapped_zircon_monster_name	mapping_method	confidence	display_name_note	status
1	守卫武将	"{""Appr"": 81, ""Race"": 19, ""Level"": 99, ""HP"": 215, ""Exp"": 540, ""ACMin"": 9, ""ACMax"": 9, ""MAC"": 27, ""DCMin"": 77, ""DCMax"": 84, ""DropTable"": 15}"			pending	pending	identity mapping is separate from display translation	pending-review
2	守卫狮子	"{""Appr"": 221, ""Race"": 19, ""Level"": 99, ""HP"": 1900, ""Exp"": 2600, ""ACMin"": 28, ""ACMax"": 28, ""MAC"": 55, ""DCMin"": 99, ""DCMax"": 121, ""DropTable"": 15}"			pending	pending	identity mapping is separate from display translation	pending-review
3	守卫血魔	"{""Appr"": 97, ""Race"": 19, ""Level"": 99, ""HP"": 310, ""Exp"": 920, ""ACMin"": 8, ""ACMax"": 8, ""MAC"": 53, ""DCMin"": 105, ""DCMax"": 96, ""DropTable"": 15}"			pending	pending	identity mapping is separate from display translation	pending-review
4	守卫沃玛	"{""Appr"": 91, ""Race"": 20, ""Level"": 99, ""HP"": 170, ""Exp"": 520, ""ACMin"": 8, ""ACMax"": 8, ""MAC"": 24, ""DCMin"": 31, ""DCMax"": 62, ""DropTable"": 15}"			pending	pending	identity mapping is separate from display translation	pending-review
5	守卫右狮	"{""Appr"": 214, ""Race"": 19, ""Level"": 99, ""HP"": 1400, ""Exp"": 2800, ""ACMin"": 14, ""ACMax"": 14, ""MAC"": 48, ""DCMin"": 77, ""DCMax"": 110, ""DropTable"": 15}"			pending	pending	identity mapping is separate from display translation	pending-review
6	署箭	"{""Appr"": 81, ""Race"": 19, ""Level"": 73, ""HP"": 1, ""Exp"": 750, ""ACMin"": 4, ""ACMax"": 4, ""MAC"": 9, ""DCMin"": 8, ""DCMax"": 29, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
7	沃玛战将61	"{""Appr"": 81, ""Race"": 19, ""Level"": 25, ""HP"": 1, ""Exp"": 240, ""ACMin"": 4, ""ACMax"": 4, ""MAC"": 7, ""DCMin"": 15, ""DCMax"": 25, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
8	赤月恶魔	"{""Appr"": 115, ""Race"": 34, ""Level"": 93, ""HP"": 13000, ""Exp"": 9750, ""ACMin"": 52, ""ACMax"": 52, ""MAC"": 100, ""DCMin"": 90, ""DCMax"": 180, ""DropTable"": 15}"	75	Red Moon The Fallen	verified-alias	high	identity mapping is separate from display translation	mapped
9	火焰狮子	"{""Appr"": 224, ""Race"": 19, ""Level"": 48, ""HP"": 3600, ""Exp"": 1600, ""ACMin"": 11, ""ACMax"": 11, ""MAC"": 13, ""DCMin"": 50, ""DCMax"": 60, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
10	血巨人	"{""Appr"": 97, ""Race"": 19, ""Level"": 40, ""HP"": 1580, ""Exp"": 420, ""ACMin"": 4, ""ACMax"": 4, ""MAC"": 11, ""DCMin"": 33, ""DCMax"": 47, ""DropTable"": 0}"			pending	pending	identity mapping is separate from display translation	pending-review
