hero_kill_map	hero_kill_xy	hero_kill_range	hero_kill_count	hero_kill_monster_name	mapped_zircon_monster_index	mapped_zircon_monster_name	old_respawn	new_respawn	confidence	walkable	hero_kill_walkable	overlap	apply_status	mapping_method	match_status	range_note
					8	Chicken	"{""index"": 4167, ""map"": ""0"", ""xy"": {""x"": 175, ""y"": 212}, ""region_index"": 31, ""region_name"": ""0 / Spawn Ring 1"", ""region_size"": 23495, ""count"": 250, ""delay"": 1, ""respawn_index"": 0}"		pending	pass	pending	[]	blocked	zircon-only-refresh-no-exact-plan-match	zircon-only	source plan has count but no radius/range field; do not infer write target
					9	Pig	"{""index"": 4168, ""map"": ""0"", ""xy"": {""x"": 175, ""y"": 212}, ""region_index"": 31, ""region_name"": ""0 / Spawn Ring 1"", ""region_size"": 23495, ""count"": 150, ""delay"": 1, ""respawn_index"": 0}"		pending	pass	pending	[]	blocked	zircon-only-refresh-no-exact-plan-match	zircon-only	source plan has count but no radius/range field; do not infer write target
					11	Cow	"{""index"": 4169, ""map"": ""0"", ""xy"": {""x"": 175, ""y"": 212}, ""region_index"": 31, ""region_name"": ""0 / Spawn Ring 1"", ""region_size"": 23495, ""count"": 40, ""delay"": 1, ""respawn_index"": 0}"		pending	pass	pending	[]	blocked	zircon-only-refresh-no-exact-plan-match	zircon-only	source plan has count but no radius/range field; do not infer write target
					10	Deer	"{""index"": 4170, ""map"": ""0"", ""xy"": {""x"": 175, ""y"": 212}, ""region_index"": 31, ""region_name"": ""0 / Spawn Ring 1"", ""region_size"": 23495, ""count"": 20, ""delay"": 1, ""respawn_index"": 0}"		pending	pass	pending	[]	blocked	zircon-only-refresh-no-exact-plan-match	zircon-only	source plan has count but no radius/range field; do not infer write target
					21	Scarecrow	"{""index"": 4171, ""map"": ""0"", ""xy"": {""x"": 174, ""y"": 202}, ""region_index"": 32, ""region_name"": ""0 / Spawn Ring 2"", ""region_size"": 38611, ""count"": 400, ""delay"": 1, ""respawn_index"": 0}"		pending	pass	pending	[]	blocked	zircon-only-refresh-no-exact-plan-match	zircon-only	source plan has count but no radius/range field; do not infer write target
					13	Claw Cat	"{""index"": 4172, ""map"": ""0"", ""xy"": {""x"": 174, ""y"": 202}, ""region_index"": 32, ""region_name"": ""0 / Spawn Ring 2"", ""region_size"": 38611, ""count"": 250, ""delay"": 1, ""respawn_index"": 0}"		pending	pass	pending	[]	blocked	zircon-only-refresh-no-exact-plan-match	zircon-only	source plan has count but no radius/range field; do not infer write target
					10	Deer	"{""index"": 4174, ""map"": ""0"", ""xy"": {""x"": 174, ""y"": 202}, ""region_index"": 32, ""region_name"": ""0 / Spawn Ring 2"", ""region_size"": 38611, ""count"": 150, ""delay"": 1, ""respawn_index"": 0}"		pending	pass	pending	[]	blocked	zircon-only-refresh-no-exact-plan-match	zircon-only	source plan has count but no radius/range field; do not infer write target
					22	Oma	"{""index"": 4175, ""map"": ""0"", ""xy"": {""x"": 174, ""y"": 202}, ""region_index"": 32, ""region_name"": ""0 / Spawn Ring 2"", ""region_size"": 38611, ""count"": 150, ""delay"": 1, ""respawn_index"": 0}"		pending	pass	pending	[]	blocked	zircon-only-refresh-no-exact-plan-match	zircon-only	source plan has count but no radius/range field; do not infer write target
					15	Forest Yeti	"{""index"": 4176, ""map"": ""0"", ""xy"": {""x"": 174, ""y"": 202}, ""region_index"": 32, ""region_name"": ""0 / Spawn Ring 2"", ""region_size"": 38611, ""count"": 60, ""delay"": 1, ""respawn_index"": 0}"		pending	pass	pending	[]	blocked	zircon-only-refresh-no-exact-plan-match	zircon-only	source plan has count but no radius/range field; do not infer write target
					19	Tiger Snake	"{""index"": 4179, ""map"": ""0"", ""xy"": {""x"": 173, ""y"": 156}, ""region_index"": 33, ""region_name"": ""0 / Spawn Ring 3"", ""region_size"": 57057, ""count"": 200, ""delay"": 1, ""respawn_index"": 0}"		pending	pass	pending	[]	blocked	zircon-only-refresh-no-exact-plan-match	zircon-only	source plan has count but no radius/range field; do not infer write target
					18	Oma Warrior	"{""index"": 4180, ""map"": ""0"", ""xy"": {""x"": 173, ""y"": 156}, ""region_index"": 33, ""region_name"": ""0 / Spawn Ring 3"", ""region_size"": 57057, ""count"": 200, ""delay"": 1, ""respawn_index"": 0}"		pending	pass	pending	[]	blocked	zircon-only-refresh-no-exact-plan-match	zircon-only	source plan has count but no radius/range field; do not infer write target
					20	Spitting Spider	"{""index"": 4181, ""map"": ""0"", ""xy"": {""x"": 173, ""y"": 156}, ""region_index"": 33, ""region_name"": ""0 / Spawn Ring 3"", ""region_size"": 57057, ""count"": 200, ""delay"": 1, ""respawn_index"": 0}"		pending	pass	pending	[]	blocked	zircon-only-refresh-no-exact-plan-match	zircon-only	source plan has count but no radius/range field; do not infer write target
					14	Wolf	"{""index"": 4182, ""map"": ""0"", ""xy"": {""x"": 173, ""y"": 156}, ""region_index"": 33, ""region_name"": ""0 / Spawn Ring 3"", ""region_size"": 57057, ""count"": 200, ""delay"": 1, ""respawn_index"": 0}"		pending	pass	pending	[]	blocked	zircon-only-refresh-no-exact-plan-match	zircon-only	source plan has count but no radius/range field; do not infer write target
					23	Oma Hero	"{""index"": 4183, ""map"": ""0"", ""xy"": {""x"": 173, ""y"": 156}, ""region_index"": 33, ""region_name"": ""0 / Spawn Ring 3"", ""region_size"": 57057, ""count"": 2, ""delay"": 30, ""respawn_index"": 0}"		pending	pass	pending	[]	blocked	zircon-only-refresh-no-exact-plan-match	zircon-only	source plan has count but no radius/range field; do not infer write target
