website_skill_id	website_skill_name	website_class	website_image	website_image_evidence	source_description	zircon_index	zircon_name	zircon_class	zircon_description	catalog_evidence	icon	icon_evidence	match_method	match_evidence	confidence	status	skip_reason	business_index_untouched	apply_status
skill-战士-基本剑术	基本剑术	战士	../images/skill/pic/jun01.gif	"{""present"":true,""path"":""/home/tetsuya/development/mir3-website/images/skill/pic/jun01.gif"",""bytes"":2937,""sha256"":""69296d8ead0d15a672f37da91ea39f9383ddfc0e89cab393d1b4990a8a4d145d"",""width"":99,""height"":103,""mode"":""P"",""frames"":1,""format"":""GIF""}"	很久以前，有一位武艺高强的战士创建了这门剑法，百姓们使用此剑术抵抗怪物。基本剑术学起来容易，招势简单，看起来不华丽。但是，对培养体力和练就扎实的功底有很大帮助，对战士来说入门剑术。根据修炼等级不同，攻击命中率将会得到提高。 - 1等级 : 7级开始修炼 - 2等级 : 9级开始修炼 - 3等级 : 11级开始修炼	1	Swordsmanship	Warrior	A skill that increases your accuracy. The skill becomes more effective as you train.	"[{""legacy_id"":3,""tag"":""changed"",""target"":""Swordsmanship (id=1)"",""current_index"":1}]"	4	"{""status"":""present"",""icon"":4,""header"":{""index"":4,""width"":36,""height"":36,""offsetX"":-24,""offsetY"":-16},""library"":""MIcon.Zl""}"	website-name-class-plus-independent-catalog-crossref-plus-MIcon	"[""website skills.json name/class/description"",""catalog-skills.html legacy cross-reference"",""MagicInfo Name/Class/Description"",""MIcon.Zl header probe""]"	high	confirmed		True	display-name-plan-only
skill-战士-攻杀剑术	攻杀剑术	战士	../images/skill/pic/jun02.gif	"{""present"":true,""path"":""/home/tetsuya/development/mir3-website/images/skill/pic/jun02.gif"",""bytes"":4991,""sha256"":""26ed9225fc0c9ae8172195a48c69130a01e7d41b6fb4de2d140526b8a51fc756"",""width"":99,""height"":72,""mode"":""P"",""frames"":1,""format"":""GIF""}"	攻杀剑术也属于入门剑术，是修炼外力，内功的高级武功。基本剑术到了一定境界，就会运气自然，发出强烈的内功，瞬间爆发出好几倍的力量，能给敌人强烈打击。 - 1等级 : 14级开始修炼 - 2等级 : 16级开始修炼 - 3等级 : 18级开始修炼	3	Slaying	Warrior	A skill that increases your accuracy and damage. The skill becomes more effective as you train.	"[{""legacy_id"":7,""tag"":""changed"",""target"":""Slaying (id=3)"",""current_index"":3}]"	12	"{""status"":""present"",""icon"":12,""header"":{""index"":12,""width"":36,""height"":36,""offsetX"":-24,""offsetY"":-16},""library"":""MIcon.Zl""}"	website-name-class-plus-independent-catalog-crossref-plus-MIcon	"[""website skills.json name/class/description"",""catalog-skills.html legacy cross-reference"",""MagicInfo Name/Class/Description"",""MIcon.Zl header probe""]"	high	confirmed		True	display-name-plan-only
skill-战士-刺杀剑术	刺杀剑术	战士	../images/skill/pic/jun03.gif	"{""present"":true,""path"":""/home/tetsuya/development/mir3-website/images/skill/pic/jun03.gif"",""bytes"":6047,""sha256"":""976436ab84c96b30dae9221e9c39147a97244747777f03b41dc55fd2bba0c87f"",""width"":99,""height"":102,""mode"":""P"",""frames"":1,""format"":""GIF""}"	经过长时间的修炼，剑术和内功都达到一定境界，就可按照自己的意愿使剑发出剑光。使用刺杀剑术就是利用剑光对攻击范围以外的敌人进行强烈攻击。达到最高境界时，甚至可以杀死数丈之外的敌人。 - 1等级 : 19级开始修炼 - 2等级 : 21级开始修炼 - 3等级 : 23级开始修炼	4	Thrusting	Warrior	Attack enemies outside of the melee range using the energy of your weapon. The damage done increases with training.	"[{""legacy_id"":12,""tag"":""changed"",""target"":""Thrusting (id=4)"",""current_index"":4}]"	22	"{""status"":""present"",""icon"":22,""header"":{""index"":22,""width"":36,""height"":36,""offsetX"":-24,""offsetY"":-16},""library"":""MIcon.Zl""}"	website-name-class-plus-independent-catalog-crossref-plus-MIcon	"[""website skills.json name/class/description"",""catalog-skills.html legacy cross-reference"",""MagicInfo Name/Class/Description"",""MIcon.Zl header probe""]"	high	confirmed		True	display-name-plan-only
skill-战士-半月弯刀	半月弯刀	战士	../images/skill/pic/jun04.gif	"{""present"":true,""path"":""/home/tetsuya/development/mir3-website/images/skill/pic/jun04.gif"",""bytes"":8197,""sha256"":""e763c9dc24078df3af0ec1e8f9133ec91868286e501ff84e1748c82baf399ffd"",""width"":99,""height"":120,""mode"":""P"",""frames"":1,""format"":""GIF""}"	与刺杀剑术一样，是可以发出剑光的高级功夫。但是，与刺杀剑术不同，半月弯刀可以同时攻击邻近的多数敌人。剑光的非常有威力，再加上范围也广，所以所消耗掉的内功也相当多，所以如果内功达不到一定境界，是绝对不能使用的。 - 1等级 : 24级开始修炼 - 2等级 : 26级开始修炼 - 3等级 : 28级开始修炼	5	Half Moon	Warrior	An ancient skill attack that hits 4 nearby enemies with the power of wind created from the swing of a weapon. Its damage increases with training.	"[{""legacy_id"":25,""tag"":""changed"",""target"":""Half Moon (id=5)"",""current_index"":5}]"	48	"{""status"":""present"",""icon"":48,""header"":{""index"":48,""width"":36,""height"":36,""offsetX"":-24,""offsetY"":-16},""library"":""MIcon.Zl""}"	website-name-class-plus-independent-catalog-crossref-plus-MIcon	"[""website skills.json name/class/description"",""catalog-skills.html legacy cross-reference"",""MagicInfo Name/Class/Description"",""MIcon.Zl header probe""]"	high	confirmed		True	display-name-plan-only
skill-战士-野蛮冲撞	野蛮冲撞	战士	../images/skill/pic/jun05.gif	"{""present"":true,""path"":""/home/tetsuya/development/mir3-website/images/skill/pic/jun05.gif"",""bytes"":3768,""sha256"":""d3debbe2711b5947f51ff5d01bb03f1133568a96ac813c5700136deff8a224cd"",""width"":99,""height"":103,""mode"":""P"",""frames"":1,""format"":""GIF""}"	剑术和步法相结合的奇特功夫，力如泰山，向敌人箭一般地跑去。给敌人的打击不算很大，但是用强烈的力气冲撞敌人，可把敌人推入火坑，也可把自己从险境当中救出来。虽然不能像轻攻术一样快速跑动长距离，但是由于具有瞬间快速移动特点，所以在短距离移动或搅乱敌人可以得到很好的效果。一定要注意的是，修炼不足的情况下使用此武功，反而会惹祸上身。 - 1等级 : 27级开始可以修炼 - 2等级 : 29级开始可以修炼 - 3等级 : 31级开始可以修炼	6	Shoulder Dash	Warrior	A shoulder blow to push away enemies of lower levels. As you train harder, you'll be able to push more enemies.	"[{""legacy_id"":27,""tag"":""changed"",""target"":""Shoulder Dash (id=6)"",""current_index"":6}]"	52	"{""status"":""present"",""icon"":52,""header"":{""index"":52,""width"":36,""height"":36,""offsetX"":-24,""offsetY"":-16},""library"":""MIcon.Zl""}"	website-name-class-plus-independent-catalog-crossref-plus-MIcon	"[""website skills.json name/class/description"",""catalog-skills.html legacy cross-reference"",""MagicInfo Name/Class/Description"",""MIcon.Zl header probe""]"	high	confirmed		True	display-name-plan-only
skill-战士-烈火剑法	烈火剑法	战士	../images/skill/pic/jun06.gif	"{""present"":true,""path"":""/home/tetsuya/development/mir3-website/images/skill/pic/jun06.gif"",""bytes"":5978,""sha256"":""e9438c85b409ca1b3ae32c9c4410cabd10f50a21b8912d001099109c4cee06d9"",""width"":99,""height"":109,""mode"":""P"",""frames"":1,""format"":""GIF""}"	烈火剑法使用内功吸收法术将体内火热的气运聚集到丹田，再注入到武器中攻击敌人，其破坏力非常大。但是，在修炼级别低的时候有可能无法聚集内功，导致功力分散。另外，烈火剑法用的是全身潜伏的内气，所以无法连续使用。 - 1等级 : 32级开始可以修炼 - 2等级 : 34级开始可以修炼 - 3等级 : 36级开始可以修炼	7	Flaming Sword	Warrior	Transfer your body's energy onto the weapon to increase its damage.  The damage bonus increases with training.	"[{""legacy_id"":26,""tag"":""changed"",""target"":""Flaming Sword (id=7)"",""current_index"":7}]"	50	"{""status"":""present"",""icon"":50,""header"":{""index"":50,""width"":36,""height"":36,""offsetX"":-24,""offsetY"":-16},""library"":""MIcon.Zl""}"	website-name-class-plus-independent-catalog-crossref-plus-MIcon	"[""website skills.json name/class/description"",""catalog-skills.html legacy cross-reference"",""MagicInfo Name/Class/Description"",""MIcon.Zl header probe""]"	high	confirmed		True	display-name-plan-only
skill-战士-翔空剑法	翔空剑法	战士	../images/skill/pic/jun08.jpg	"{""present"":true,""path"":""/home/tetsuya/development/mir3-website/images/skill/pic/jun08.jpg"",""bytes"":27726,""sha256"":""21a68fceb006432290c24d2f2c08ab3d55b88557e369b82b363fa451bfa0b5f3"",""width"":99,""height"":124,""mode"":""RGB"",""frames"":1,""format"":""JPEG""}"	人飞向空中，从半空落下攻击敌人的剑术，由于盘旋飞上空中的气势就像升天的龙王，所以起名叫做翔空剑法。此剑法威力无比，飞得越高发出来的威力也越大。若没有坚实的内功和体力，是无法使用此剑术，发功之前需要将内气聚到丹田，不能连续过多使用。 - 1等级 : 35级开始可以修炼 - 2等级 : 37级开始可以修炼 - 3等级 : 39级开始可以修炼	8	Dragon Rise	Warrior	Harness the body's energy to throw yourself into the enemies. Its damage increases with training.	"[{""legacy_id"":35,""tag"":""changed"",""target"":""Dragon Rise (id=8)"",""current_index"":8}]"	68	"{""status"":""present"",""icon"":68,""header"":{""index"":68,""width"":36,""height"":36,""offsetX"":-24,""offsetY"":-16},""library"":""MIcon.Zl""}"	website-name-class-plus-independent-catalog-crossref-plus-MIcon	"[""website skills.json name/class/description"",""catalog-skills.html legacy cross-reference"",""MagicInfo Name/Class/Description"",""MIcon.Zl header probe""]"	high	confirmed		True	display-name-plan-only
skill-战士-莲月剑法	莲月剑法	战士	../images/skill/pic/jun07.jpg	"{""present"":true,""path"":""/home/tetsuya/development/mir3-website/images/skill/pic/jun07.jpg"",""bytes"":27103,""sha256"":""a19f643d4549f1e5780dbd23f13bc978b8c2eeefd0263d37e26a2e74f46db542"",""width"":99,""height"":132,""mode"":""RGB"",""frames"":1,""format"":""JPEG""}"	莲月剑法，动作灵活猛烈，是最高剑法之一。一挥剑就会发出强烈剑光，剑光大波大起，根本不给对方还手机会，造成致命的打击。若没有坚实的内功和体力，是无法使用此剑术，发功之前需要将内气聚到丹田，不能连续过多使用。 - 1等级 : 38级开始可以修炼 - 2等级 : 40级开始可以修炼 - 3等级 : 42级开始可以修炼	9	Blade Storm	Warrior	A fast attack that deals 2 blows to the enemy. Its damage increases with training.	"[{""legacy_id"":34,""tag"":""changed"",""target"":""Blade Storm (id=9)"",""current_index"":9}]"	66	"{""status"":""present"",""icon"":66,""header"":{""index"":66,""width"":36,""height"":36,""offsetX"":-24,""offsetY"":-16},""library"":""MIcon.Zl""}"	website-name-class-plus-independent-catalog-crossref-plus-MIcon	"[""website skills.json name/class/description"",""catalog-skills.html legacy cross-reference"",""MagicInfo Name/Class/Description"",""MIcon.Zl header probe""]"	high	confirmed		True	display-name-plan-only
skill-战士-十方斩	十方斩	战士	../images/skill/pic/4jun01.gif	"{""present"":true,""path"":""/home/tetsuya/development/mir3-website/images/skill/pic/4jun01.gif"",""bytes"":6090,""sha256"":""62581158bcfcfaaf23f89696269c7ed76ddd343383b3461ecbd1f9a63584b939"",""width"":99,""height"":124,""mode"":""P"",""frames"":1,""format"":""GIF""}"	十方斩，以剑身的旋转带出一个环绕的圆型气场，气场边缘的淡蓝色剑气犹如剑刃本身般利不可挡。即使被敌人完全包围，气场造成的伤害仍可以轻易破开入侵者的铠甲。由于使用者从正面挥出武器，因此身处这点的敌人将遭受比其余点更为严重的剑气伤害。 - 1等级 : 40级开始可以修炼 - 2等级 : 43级开始可以修炼 - 3等级 : 46级开始可以修炼	10	Destructive Surge	Warrior	Transfers your body's energy onto your weapon to deal damage to your enemies around you. Its damage increases with training.	"[{""legacy_id"":103,""tag"":""changed"",""target"":""Destructive Surge (id=10)"",""current_index"":10}]"	204	"{""status"":""present"",""icon"":204,""header"":{""index"":204,""width"":36,""height"":36,""offsetX"":-24,""offsetY"":-16},""library"":""MIcon.Zl""}"	website-name-class-plus-independent-catalog-crossref-plus-MIcon	"[""website skills.json name/class/description"",""catalog-skills.html legacy cross-reference"",""MagicInfo Name/Class/Description"",""MIcon.Zl header probe""]"	high	confirmed		True	display-name-plan-only
skill-战士-乾坤大挪移	乾坤大挪移	战士	../images/skill/pic/4jun02.gif	"{""present"":true,""path"":""/home/tetsuya/development/mir3-website/images/skill/pic/4jun02.gif"",""bytes"":7422,""sha256"":""0d1d5a3464211ac252a472cd6550daf21ef588c4615d548da9b188d713c3041e"",""width"":126,""height"":127,""mode"":""P"",""frames"":1,""format"":""GIF""}"	乾坤大挪移其实是一种把身法发挥到极致的技能。使用者以自身极高的速度冲向对方所在的位置，其身法发挥时所带起的空气气流可以硬把对方迫离原来的位置。受到气流牵引影响，对方可能在毫不知情的情况下改变了所处位置。 - 1等级 : 42级开始可以修炼 - 2等级 : 45级开始可以修炼 - 3等级 : 48级开始可以修炼	11	Interchange	Warrior	A skill that allows you to switch the location of you and your target. Its chance of success increases with training.	"[{""legacy_id"":107,""tag"":""changed"",""target"":""Interchange (id=11)"",""current_index"":11}]"	212	"{""status"":""present"",""icon"":212,""header"":{""index"":212,""width"":36,""height"":36,""offsetX"":-24,""offsetY"":-16},""library"":""MIcon.Zl""}"	website-name-class-plus-independent-catalog-crossref-plus-MIcon	"[""website skills.json name/class/description"",""catalog-skills.html legacy cross-reference"",""MagicInfo Name/Class/Description"",""MIcon.Zl header probe""]"	high	confirmed		True	display-name-plan-only
