table	action	start	frame	skip	ftime	usetick	src_line
HA	ActStand	0	4	6	200	0	74
HA	ActWalk	1680	6	4	90	2	75
HA	ActRun	1760	6	4	120	3	76
HA	ActRushLeft	128	3	5	120	3	77
HA	ActRushRight	131	3	5	120	3	78
HA	ActWarMode	560	3	7	200	0	79
HA	ActHit	720	6	4	85	0	81
HA	ActHeavyHit	800	6	4	85	0	82
HA	ActBigHit	880	6	4	85	0	83
HA	ActFireHitReady	192	6	4	70	0	84
HA	ActSpell	240	5	5	75	0	85
HA	ActSitdown	640	2	8	400	0	86
HA	ActStruck	1200	3	7	100	0	87
HA	ActDie	1520	10	0	120	0	88
MA9	ActStand	0	1	7	200	0	92
MA9	ActWalk	64	6	2	120	3	93
MA9	ActAttack	64	6	2	150	0	94
MA9	ActCritical	0	0	0	0	0	95
MA9	ActStruck	64	6	2	100	0	96
MA9	ActDie	0	1	7	140	0	97
MA9	ActDeath	0	1	7	0	0	98
MA10	ActStand	0	4	4	200	0	101
MA10	ActWalk	64	6	2	120	3	102
MA10	ActAttack	128	4	4	150	0	103
MA10	ActCritical	0	0	0	0	0	104
MA10	ActStruck	192	2	0	100	0	105
MA10	ActDie	208	4	4	140	0	106
MA10	ActDeath	272	1	0	0	0	107
MA11	ActStand	0	4	6	200	0	110
MA11	ActWalk	80	6	4	120	3	111
MA11	ActAttack	160	6	4	100	0	112
MA11	ActCritical	0	0	0	0	0	113
MA11	ActStruck	240	2	0	100	0	114
MA11	ActDie	260	10	0	140	0	115
MA11	ActDeath	340	1	0	0	0	116
MA12	ActStand	0	4	4	200	0	119
MA12	ActWalk	64	6	2	120	3	120
MA12	ActAttack	128	6	2	150	0	121
MA12	ActCritical	0	0	0	0	0	122
MA12	ActStruck	192	2	0	150	0	123
MA12	ActDie	208	4	4	160	0	124
MA12	ActDeath	272	1	0	0	0	125
MA13	ActStand	0	4	6	200	0	128
MA13	ActWalk	10	8	2	160	0	129
MA13	ActAttack	30	6	4	120	0	130
MA13	ActCritical	0	0	0	0	0	131
MA13	ActStruck	110	2	0	100	0	132
MA13	ActDie	130	10	0	120	0	133
MA13	ActDeath	20	9	0	150	0	134
MA14	ActStand	0	4	6	200	0	137
MA14	ActWalk	80	6	4	160	3	138
MA14	ActAttack	160	6	4	100	0	139
MA14	ActCritical	0	0	0	0	0	140
MA14	ActStruck	240	2	0	100	0	141
MA14	ActDie	260	10	0	120	0	142
MA14	ActDeath	340	10	0	100	0	143
MA15	ActStand	0	4	6	200	0	146
MA15	ActWalk	80	6	4	160	3	147
MA15	ActAttack	160	6	4	100	0	148
MA15	ActCritical	0	0	0	0	0	149
MA15	ActStruck	240	2	0	100	0	150
MA15	ActDie	260	10	0	120	0	151
MA15	ActDeath	1	1	0	100	0	152
MA16	ActStand	0	4	6	200	0	155
MA16	ActWalk	80	6	4	160	3	156
MA16	ActAttack	160	6	4	160	0	157
MA16	ActCritical	0	0	0	0	0	158
MA16	ActStruck	240	2	0	100	0	159
MA16	ActDie	260	4	6	160	0	160
MA16	ActDeath	0	1	0	160	0	161
MA17	ActStand	0	4	6	60	0	164
MA17	ActWalk	80	6	4	160	3	165
MA17	ActAttack	160	6	4	100	0	166
MA17	ActCritical	0	0	0	0	0	167
MA17	ActStruck	240	2	0	100	0	168
MA17	ActDie	260	10	0	100	0	169
MA17	ActDeath	340	1	0	140	0	170
MA19	ActStand	0	4	6	70	0	181
MA19	ActWalk	80	6	4	90	3	182
MA19	ActAttack	160	10	0	120	0	183
MA19	ActCritical	0	0	0	0	0	184
MA19	ActStruck	240	2	8	70	0	185
MA19	ActDie	320	10	0	120	0	186
MA19	ActDeath	329	1	9	0	0	187
MA20	ActStand	0	4	6	200	0	191
MA20	ActWalk	80	6	4	160	3	192
MA20	ActAttack	160	6	4	120	0	193
MA20	ActCritical	0	0	0	0	0	194
MA20	ActStruck	240	2	0	100	0	195
