dlg	left_expr	top_expr	img_index	lib	src_line
DAdjustAbilClose	316	1	64	g_WProgUse	2824
DAdjustAbilOk	220	298	62	g_WProgUse	2827
DAdjustAbility			226	g_WProgUse	2823
DArmringLUS1	336	265			2061
DArmringRUS1	133	265			2057
DBLAdd	92+105	260	554	g_WProgUse	2897
DBLDel	92+140	260	556	g_WProgUse	2898
DBLPgDn	275	175	372	g_WProgUse	2896
DBLPgUp	275	116	373	g_WProgUse	2895
DBackground	0	0			1392
DBelt1	5	19			1482
DBelt2	5	56			1487
DBelt3	5	92			1492
DBelt4	5	128			1497
DBelt5	5	165			1502
DBelt6	5	200			1507
DBeltUS1	294	373			2089
DBeltWin	0	140	83	g_WProgUse	1472
DBlockListClose	270	5	86	g_WProgUse	2894
DBlockListDlg	512	265	536	g_WProgUse	2890
DBootsUS1	133	345			2093
DBotBelt	148	2	1205	g_WGameInter	2247
DBotExit	8	72	1176	g_WGameInter	2264
DBotFriend	181	184	531	g_WProgUse	2257
DBotGroup	706	8	1180	g_WGameInter	2225
DBotGuild	674	11	1182	g_WGameInter	2222
DBotLogout	109	72	1178	g_WGameInter	2267
DBotMaster	603	85	529	g_WProgUse	2260
DBotMemo	742	61	1190	g_WGameInter	2240
DBotMiniMap	638	40	1172	g_WGameInter	2212
DBotPlusAbil	219 + 30*4	104	140	g_WProgUse	2253
DBotSkillBar	638	75	1174	g_WGameInter	2218
DBotTrade	638	5	1170	g_WGameInter	2215
DBottom	(SCREENWIDTH - d.Width) div 2	(SCREENHEIGHT - d.Height)	1160	g_WGameInter	2205
DBujukUS1	254	373			2085
DChFriend	104	303	432	g_WProgUse	2106
DChGroup	71	303	431	g_WProgUse	2103
DChMemo	137	303	433	g_WProgUse	2109
DCharmUS1	334	373			2097
DChat	178	DBottom.Top - 19	1161	g_WGameInter	2274
DChatMode	441	24	1168	g_WGameInter	2280
DChatScrlChat	441	70	1207	g_WGameInter	2284
DChatSet1	8	276	1330	g_WGameInter	2288
DChatSet2	8 + 40	276	1333	g_WGameInter	2291
DChatSet3	7 + 40 * 2	275	1335	g_WGameInter	2294
DChatSet4	7 + 40 * 3	275	1337	g_WGameInter	2297
DChatSet5	7 + 40 * 4	275	1338	g_WGameInter	2300
DChatSet6	7 + 40 * 5	275	1340	g_WGameInter	2303
DChatSet7	7 + 40 * 6	275	1342	g_WGameInter	2306
DCloseBag	356	445	1222	g_WGameInter	2126
DCloseBelt	1	239	85	g_WProgUse	1478
DCloseMagic	392	434	1221	g_WGameInter	2161
DCloseState	380	36	1221	g_WGameInter	1950
DCloseUS1	367	397	1176	g_WGameInter	2046
DCountDlg	(SCREENWIDTH - d.Width) div 2	(SCREENHEIGHT - d.Height) div 2	660	g_WProgUse	1424
DCountDlgCancel			652	g_WProgUse	1430
DCountDlgClose			86	g_WProgUse	1431
DCountDlgMax			654	g_WProgUse	1428
DCountDlgOk			650	g_WProgUse	1429
DCreateChr	0	0	73	g_WProgUse	1901
DDGold	14	125	28	g_WProgUse	2733
DDGrid	29	38			2723
DDRGold	14	125	28	g_WProgUse	2747
DDRGrid	29	38			2743
DDealClose	212	16	86	g_WProgUse	2730
DDealDlg	SCREENWIDTH - d.Width	0	389	g_WProgUse	2719
DDealJangwon	398	138	683	g_WProgUse	2754
DDealOk	158	105	391	g_WProgUse	2727
DDealRemoteDlg	DDealDlg.Left - d.Width	0	390	g_WProgUse	2739
DDressUS1	118 + 58 + 65	52 + 160			2077
DDropViewOff	208	165	1294	g_WProgUse	2684
DDropViewOn	166	165	1292	g_WProgUse	2681
DEffectOff	208	121	1294	g_WProgUse	2672
DEffectOn	166	121	1292	g_WProgUse	2669
DFrdAdd	92	260	554	g_WProgUse	2865
DFrdBlackList	147	60	573	g_WProgUse	2864
DFrdClose	270	5	86	g_WProgUse	2860
DFrdDel	92+35	260	556	g_WProgUse	2866
DFrdFriend	27	60	540	g_WProgUse	2863
DFrdMail	92+105	260	560	g_WProgUse	2868
DFrdMemo	92+70	260	558	g_WProgUse	2867
DFrdPgDn	275	175	372	g_WProgUse	2862
DFrdPgUp	275	116	373	g_WProgUse	2861
DFrdWhisper	92+140	260	562	g_WProgUse	2869
DFriendDlg	0	0	536	g_WProgUse	2856
DGABoardCancel	253	213	652	g_WProgUse	2516
DGABoardClose	324	5	86	g_WProgUse	2520
DGABoardDel	29	213	697	g_WProgUse	2503
DGABoardDlg	0	145	689	g_WProgUse	2498
DGABoardListClose	432	5	86	g_WProgUse	2490
DGABoardListDlg	0	48	688	g_WProgUse	2465
DGABoardListNext	266	321	387	g_WProgUse	2483
DGABoardListPrev	163	321	388	g_WProgUse	2480
DGABoardListRefresh	213	320	665	g_WProgUse	2486
DGABoardMemo	95	213	666	g_WProgUse	2506
