dlg	type	src_file	src_line
DStateWin	TDWindow	Source/Client/FState.pas	81
DBackground	TDWindow	Source/Client/FState.pas	82
DItemBag	TDWindow	Source/Client/FState.pas	83
DBottom	TDWindow	Source/Client/FState.pas	84
DMyState	TDButton	Source/Client/FState.pas	85
DMyBag	TDButton	Source/Client/FState.pas	86
DMyMagic	TDButton	Source/Client/FState.pas	87
DOption	TDButton	Source/Client/FState.pas	88
DGold	TDButton	Source/Client/FState.pas	89
DPrevState	TDButton	Source/Client/FState.pas	90
DRepairItem	TDButton	Source/Client/FState.pas	91
DCloseBag	TDButton	Source/Client/FState.pas	92
DCloseState	TDButton	Source/Client/FState.pas	93
DLogIn	TDWindow	Source/Client/FState.pas	94
DLoginNew	TDButton	Source/Client/FState.pas	95
DLoginOk	TDButton	Source/Client/FState.pas	96
DLoginClose	TDButton	Source/Client/FState.pas	97
DSelectChr	TDWindow	Source/Client/FState.pas	98
DscStart	TDButton	Source/Client/FState.pas	99
DscNewChr	TDButton	Source/Client/FState.pas	100
DscEraseChr	TDButton	Source/Client/FState.pas	101
DscExit	TDButton	Source/Client/FState.pas	102
DCreateChr	TDWindow	Source/Client/FState.pas	103
DccWarrior	TDButton	Source/Client/FState.pas	104
DccWizzard	TDButton	Source/Client/FState.pas	105
DccMonk	TDButton	Source/Client/FState.pas	106
DccReserved	TDButton	Source/Client/FState.pas	107
DccMale	TDButton	Source/Client/FState.pas	108
DccFemale	TDButton	Source/Client/FState.pas	109
DccLeftHair	TDButton	Source/Client/FState.pas	110
DccRightHair	TDButton	Source/Client/FState.pas	111
DccOk	TDButton	Source/Client/FState.pas	112
DccClose	TDButton	Source/Client/FState.pas	113
DItemGrid	TDGrid	Source/Client/FState.pas	114
DLoginChgPw	TDButton	Source/Client/FState.pas	115
DMsgDlg	TDWindow	Source/Client/FState.pas	116
DMsgDlgOk	TDButton	Source/Client/FState.pas	117
DMsgDlgYes	TDButton	Source/Client/FState.pas	118
DMsgDlgCancel	TDButton	Source/Client/FState.pas	119
DMsgDlgNo	TDButton	Source/Client/FState.pas	120
DNextState	TDButton	Source/Client/FState.pas	121
DSWNecklace	TDButton	Source/Client/FState.pas	122
DSWLight	TDButton	Source/Client/FState.pas	123
DSWArmRingR	TDButton	Source/Client/FState.pas	124
DSWArmRingL	TDButton	Source/Client/FState.pas	125
DSWRingR	TDButton	Source/Client/FState.pas	126
DSWRingL	TDButton	Source/Client/FState.pas	127
DSWWeapon	TDButton	Source/Client/FState.pas	128
DSWDress	TDButton	Source/Client/FState.pas	129
DSWHelmet	TDButton	Source/Client/FState.pas	130
DBelt1	TDButton	Source/Client/FState.pas	131
DBelt2	TDButton	Source/Client/FState.pas	132
DBelt3	TDButton	Source/Client/FState.pas	133
DBelt4	TDButton	Source/Client/FState.pas	134
DBelt5	TDButton	Source/Client/FState.pas	135
DBelt6	TDButton	Source/Client/FState.pas	136
DMerchantDlg	TDWindow	Source/Client/FState.pas	137
DMerchantDlgClose	TDButton	Source/Client/FState.pas	138
DMenuDlg	TDWindow	Source/Client/FState.pas	139
