func	file_const	file_name	line	seq	field	reader
LoadMonItems			197	1	data	GetValidStr3
LoadMonItems			199	2	data	GetValidStr3
LoadMonItems			202	3	data	GetValidStrCap
LoadMonItems			209	4	pmi.Count	GetValidStr3
LoadZenLists	ZENFILE	MonGen.txt	403	1	pz.MapName	GetValidStr3
LoadZenLists	ZENFILE	MonGen.txt	405	2	pz.X	GetValidStr3
LoadZenLists	ZENFILE	MonGen.txt	407	3	pz.Y	GetValidStr3
LoadZenLists	ZENFILE	MonGen.txt	410	4	pz.MonName	GetValidStrCap
LoadZenLists	ZENFILE	MonGen.txt	417	5	pz.Area	GetValidStr3
LoadZenLists	ZENFILE	MonGen.txt	419	6	pz.Count	GetValidStr3
LoadZenLists	ZENFILE	MonGen.txt	421	7	pz.MonZenTime	GetValidStr3
LoadZenLists	ZENFILE	MonGen.txt	428	8	pz.SmallZenRate	GetValidStr3
LoadZenLists	ZENFILE	MonGen.txt	432	9	pz.TX	GetValidStr3
LoadZenLists	ZENFILE	MonGen.txt	434	10	pz.TY	GetValidStr3
LoadZenLists	ZENFILE	MonGen.txt	436	11	pz.ZenShoutType	GetValidStr3
LoadZenLists	ZENFILE	MonGen.txt	438	12	pz.Mons	GetValidStr3
LoadMapFiles	MAPDEFFILE	MapInfo.txt	591	1	FrmMain.Caption	GetValidStr3
LoadMapFiles	MAPDEFFILE	MapInfo.txt	780	2	data	GetValidStr3
LoadMapFiles	MAPDEFFILE	MapInfo.txt	784	3	data	GetValidStr3
LoadMapFiles	MAPDEFFILE	MapInfo.txt	787	4	data	GetValidStr3
LoadMapFiles	MAPDEFFILE	MapInfo.txt	789	5	data	GetValidStr3
LoadMapFiles	MAPDEFFILE	MapInfo.txt	791	6	data	GetValidStr3
LoadMapFiles	MAPDEFFILE	MapInfo.txt	793	7	data	GetValidStr3
LoadMapFiles	MAPDEFFILE	MapInfo.txt	795	8	data	GetValidStr3
LoadAdminFiles	ADMINDEFFILE	AdminList.txt	834	1	temp	GetValidStrCap
LoadAdminFiles	ADMINDEFFILE	AdminList.txt	838	2	temp	GetValidStrCap
LoadAdminFiles	ADMINDEFFILE	AdminList.txt	842	3	temp	GetValidStrCap
