line	english	korean_aliases	handler
23291	admins		SysMsg
23298		귓속말거부 / 귀엣말거부	BoHearWhisper / SysMsg
23304		귓속말허용 / 귀엣말허용	BoHearWhisper / SysMsg / BlockWhisper
23309		차단	BlockWhisper / BoHearCry
23315		외치기거부 / 외치기차단	BoHearCry / SysMsg / BoExchangeAvailable
23321		교환거부	BoExchangeAvailable / SysMsg
23327		문파가입	SysMsg
23333		동맹허용	SysMsg
23341		동맹	
23347		동맹파기	
23353		문파탈퇴	BoHearGuildMsg / SysMsg
23357		문파전음차단 / 문파전음거부	BoHearGuildMsg / SysMsg
23370		추방	SysMsg
23385		내공	BoHighLevelEffect / SysMsg
23400		일지	CmdSendTestQuestDiary
23405		공격방식	SysMsg
23417		휴식	BoSlaveRelax / SysMsg
23433	gsa		SendMsg / SysMsg / BoReadySuperAdminPassword
23448		사북성문	CmdOpenCloseUserCastleMainDoor
23460		이동	SendRefMsg / SysMsg
23479		탐색	SysMsg
23496		천지합일거부 / 천지합일허용	BoEnableRecall / SysMsg / BoEnableAgitRecall
23502		소환거부 / 소환허용	BoEnableAgitRecall / SysMsg / BoCGHIEnable
23508		천지합일	
23536		부활	
23564	MeetCouple	만남	
23610	HappyBirthDay	생일축하	SendRefMsg
23647	ReloadLineNotice	줄공지적용	SysMsg
23653	Move	이동	CmdFreeSpaceMove
23660	PositionMove / PMove	자유이동	CmdFreeSpaceMove
23665	Stealth	스텔스	CmdStealth
23670	Info	렙	CmdSendUserLevelInfos
23674	MobLevel	몹레벨	CmdSendMonsterLevelInfos
23678	KingMob	왕몹	CmdSendKingMonsterInfos
23682	MobCount	몹수	SysMsg
23689	Human		SysMsg
23693	Map	맵	CmdKickUser
23697	Kick		CmdKickUser
23701	Ting	팅	CmdTingUser
23705	SuperTing	왕팅	CmdTingRangeUser
23709	Shutup	채금	CmdAddShutUpList
23713	ReleaseShutup	채금해제	CmdDelShutUpList
23717	ShutupList	채금자	CmdSendShutUpList
23722	ReloadChatLog	채팅로그재적용	CmdAddChatLogList
23729	AddChatLog	채팅로그추가	CmdAddChatLogList
23733	ReleaseChatLog	채팅로그삭제	CmdDelChatLogList
23737	ChatLogList	채팅로그자	CmdSendChatLogList
23742	GameMaster	운영자	BoSysopMode / SysMsg / BoSuperviserMode
23748	Observer / Ob	감시자	BoSuperviserMode / SysMsg
23754	Superman	무적	SysMsg
23760	Level	레벨조정	SysMsg
23765	SabukWallGold		CmdRecallMan
23769	Recall	소환	CmdRecallMan
23774	RecallMap	맵소환	CmdRecallMap
23778	flag		SysMsg
23789	showopen		SysMsg
23800	showunit		SysMsg
23813	addfriend	친구등록	SendMsg
23821	CharMove	캐릭터이동	CmdCharMove
23826	Goto	출두	CmdCharSpaceMove
23832	ContestPoint		CmdGetGuildMatchPoint
23836	StartContest		CmdStartGuildMatch
23840	EndContest		CmdEndGuildMatch
23844	Announcement		CmdAnnounceGuildMembersMatchPoint
23849	whoare	누구	CmdViewAllCharacterList
23852	safezone	안전	SysMsg
23860	CMDTEST		
23871	PKpoint		CmdSendPKPoint
