block	block_line	magic_id	comment	handler	src_line
1	1008	1	화염장		1009
1	1008	5	금강화염장		1010
1	1008	37	기공파...도사 밀기 무공		1033
1	1008	8	화염풍	MagPushAround	1034
1	1008	9	염사장		1039
1	1008	10	뢰인장		1054
1	1008	35	멸천화		1070
1	1008	11	강격		1071
1	1008	20	뢰혼격	MagLightingShock	1094
1	1008	32	사자윤회	MagTurnUndead	1099
1	1008	21	아공행법	MagLightingSpaceMove	1104
1	1008	22	지염술	MagMakeFireCross	1111
1	1008	23	폭열파	MagBigExplosion	1122
1	1008	45	화룡기염	MagDragonFire	1133
1	1008	33	빙설풍	MagBigExplosion	1146
1	1008	24	뢰설화	MagElecBlizzard	1157
1	1008	31	주술의막	MagBubbleDefenceUp	1166
1	1008	2	회복술		1173
1	1008	29	대회복술	MagBigHealing	1196
1	1008	6	암연술		1208
2	1349	41			1350
2	1349	17			1360
3	1397	13	폭살계		1398
3	1397	14	항마진법	MagMakeDefenceArea	1417
3	1397	46	저주술		1426
4	1584	30	신수소환		1585
