func	wide	special	src_line
MagPushAround		方向相关粘住状态概率目标合法性检查	70
MagDragonFire	wide	目标合法性检查1/10 伤害	97
MagLightingShock		概率1/10 伤害只对亡灵全额伤害	129
MagTurnUndead		只对亡灵全额伤害概率	211
MagLightingSpaceMove		概率	241
MagMakeHolyCurtain	1	概率	271
MagMakeFireCross			338
MagBigHealing	1		369
MagBigExplosion	wide	目标合法性检查	393
MagElecBlizzard	2	只对亡灵全额伤害1/10 伤害目标合法性检查	413
MagMakePrivateTransparent	9	概率	439
MagMakeGroupTransparent	1		470
MagMakePrivateClean	0	概率	493
MagWindCut	1	方向相关概率目标合法性检查 / 鬼魂按技能等级	547
MagPullMon		方向相关粘住状态目标合法性检查概率	745
MagBlindEye		概率目标合法性检查	832
