macro	source_expr	src_line
$OWNERGUILD	data	481
$LORD		486
$GUILDWARFEE	GetGoldStr(GUILDWARFEE)	496
$GUILDWARTIME	IntToStr(GUILDWARTIME)	499
$CASTLEWARDATE	data	502
$LISTOFWAR	data	519
$USERNAME	hum.UserName	530
$PKTIME	hum.GetPKTimeMin	534
$SAVEITEM	IntToStr(hum.SaveItems.Count)	538
$REMAINSAVEITEM	IntToStr(MAXSAVELIMIT - hum.SaveItems.Count)	541
$MAXSAVEITEM	IntToStr(MAXSAVELIMIT)	544
$GUILDAGITREGFEE	GetGoldStr(GUILDAGITREGFEE)	549
$GUILDAGITEXTENDFEE	GetGoldStr(GUILDAGITEXTENDFEE)	552
$GUILDAGITMAXGOLD	GetGoldStr(GUILDAGITMAXGOLD)	555
$AGITGUILDNAME	hum.GetGuildNameHereAgit	559
$AGITGUILDMASTER	hum.GetGuildMasterNameHereAgit	562
$MEMORIALCOUNT	IntToStr(MemorialCount)	566
$PRICERATE	IntToStr(PriceRate)	3109
$UPGRADEWEAPONFEE	IntToStr(UPGRADEWEAPONFEE)	3112
$USERWEAPON	'Weapon'	3115
$CASTLEGOLD	IntToStr(UserCastle.TotalGold)	5978
$TODAYINCOME	IntToStr(UserCastle.TodayIncome)	5981
$CASTLEDOORSTATE		5984
$REPAIRDOORGOLD	IntToStr(CASTLEMAINDOORREPAREGOLD)	5998
$REPAIRWALLGOLD	IntToStr(CASTLECOREWALLREPAREGOLD)	6001
$GUARDFEE	IntToStr(CASTLEGUARDEMPLOYFEE)	6004
$ARCHERFEE	IntToStr(CASTLEARCHEREMPLOYFEE)	6007
$GUARDRULE		6011
