cls	kind	name	line	vis
TCreature	class	(base)	305	
TCreature	procedure	SetBoInFreePKArea	606	private
TCreature	constructor	Create	658	public
TCreature	destructor	Destroy	659	public
TCreature	procedure	SendFastMsg	660	public
TCreature	procedure	SendMsg	661	public
TCreature	procedure	SendDelayMsg	662	public
TCreature	procedure	UpdateDelayMsg	663	public
TCreature	procedure	UpdateDelayMsgCheckParam1	664	public
TCreature	procedure	UpdateMsg	665	public
TCreature	function	GetMsg	666	public
TCreature	function	GetMapCreatures	667	public
TCreature	function	GetObliqueMapCreatures	668	public
TCreature	procedure	SendRefMsg	669	public
TCreature	procedure	UpdateVisibleGay	670	public
TCreature	procedure	UpdateVisibleItems	671	public
TCreature	procedure	UpdateVisibleEvents	672	public
TCreature	procedure	SearchViewRange	673	public
TCreature	function	Feature	674	public
TCreature	function	GetRelFeature	675	public
TCreature	function	GetCharStatus	676	public
TCreature	procedure	InitValues	677	public
TCreature	procedure	Initialize	678	public
TCreature	procedure	Finalize	679	public
TCreature	function	GetMasterRace	680	public
TCreature	procedure	RunMsg	681	public
TCreature	procedure	UseLamp	682	public
TCreature	procedure	Run	683	public
TCreature	procedure	FeatureChanged	684	public
TCreature	procedure	CharStatusChanged	685	public
TCreature	procedure	UserNameChanged	686	public
TCreature	function	Appear	687	public
TCreature	function	Disappear	688	public
TCreature	procedure	KickException	689	public
TCreature	function	Walk	690	public
TCreature	function	EnterAnotherMap	691	public
TCreature	procedure	Turn	692	public
TCreature	function	RunTo	693	public
TCreature	function	WalkTo	694	public
TCreature	procedure	Say	695	public
TCreature	procedure	SysMsg	696	public
TCreature	procedure	BoxMsg	697	public
TCreature	procedure	NilMsg	698	public
TCreature	procedure	GroupMsg	699	public
TCreature	procedure	MakeGhost	700	public
TCreature	procedure	ScatterBagItems	701	public
TCreature	procedure	DropEventItems	702	public
TCreature	procedure	ScatterGolds	703	public
TCreature	procedure	ApplyMeatQuality	704	public
TCreature	function	TakeCretBagItems	705	public
TCreature	procedure	DropUseItems	706	public
TCreature	procedure	Die	707	public
TCreature	procedure	Alive	708	public
TCreature	procedure	SetLastHiter	709	public
TCreature	procedure	AddPkHiter	710	public
TCreature	procedure	CheckTimeOutPkHiterList	711	public
TCreature	procedure	ClearPkHiterList	712	public
TCreature	function	IsGoodKilling	713	public
TCreature	procedure	SetAllowLongHit	714	public
TCreature	procedure	SetAllowWideHit	715	public
TCreature	function	SetAllowFireHit	716	public
TCreature	procedure	SetAllowCrossHit	718	public
TCreature	function	SetAllowTwinHit	719	public
TCreature	function	GetNextHitTime	720	public
TCreature	function	GetNextWalkTime	721	public
TCreature	procedure	IncHealthSpell	723	public
TCreature	procedure	RandomSpaceMove	724	public
TCreature	procedure	RandomSpaceMoveInRange	725	public
TCreature	procedure	SpaceMove	726	public
TCreature	procedure	UserSpaceMove	727	public
TCreature	function	UseScroll	728	public
TCreature	function	MakeWeaponGoodLock	729	public
TCreature	function	RepaireWeaponNormaly	730	public
TCreature	function	RepaireWeaponPerfect	731	public
TCreature	function	RepairItemNormaly	732	public
TCreature	function	UseLotto	733	public
TCreature	procedure	MakeHolySeize	734	public
TCreature	procedure	BreakHolySeize	735	public
TCreature	procedure	MakeCrazyMode	736	public
TCreature	procedure	MakeGoodCrazyMode	737	public
TCreature	procedure	BreakCrazyMode	738	public
TCreature	procedure	MakeOpenHealth	739	public
TCreature	procedure	BreakOpenHealth	740	public
TCreature	function	GetHitStruckDamage	741	public
TCreature	function	GetMagStruckDamage	742	public
TCreature	procedure	StruckDamage	743	public
TCreature	function	DamageHealth	744	public
TCreature	procedure	DamageSpell	745	public
TCreature	function	CalcGetExp	746	public
TCreature	procedure	GainExp	747	public
TCreature	procedure	GainSlaveExp	748	public
