prefix	name	value	dec	hex	kind	comment	src_file	src_line
SM	SM_TEST	1	1	0x1	server->client		Source/Common/Grobal2.pas	1304
SM	SM_STOPACTIONS	2	2	0x2	server->client	모든 캐릭터/마법의 동작을 멈춘다.	Source/Common/Grobal2.pas	1306
SM	SM_ACTION_MIN	5	5	0x5	server->client		Source/Common/Grobal2.pas	1310
SM	SM_THROW	5	5	0x5	server->client		Source/Common/Grobal2.pas	1311
SM	SM_RUSH	6	6	0x6	server->client	앞으로 전진	Source/Common/Grobal2.pas	1312
SM	SM_RUSHKUNG	7	7	0x7	server->client	앞으로 전진실패	Source/Common/Grobal2.pas	1313
SM	SM_FIREHIT	8	8	0x8	server->client	염화결	Source/Common/Grobal2.pas	1314
SM	SM_BACKSTEP	9	9	0x9	server->client	뒷걸음질,	Source/Common/Grobal2.pas	1315
SM	SM_TURN	10	10	0xA	server->client		Source/Common/Grobal2.pas	1316
SM	SM_WALK	11	11	0xB	server->client		Source/Common/Grobal2.pas	1317
SM	SM_SITDOWN	12	12	0xC	server->client		Source/Common/Grobal2.pas	1318
SM	SM_RUN	13	13	0xD	server->client		Source/Common/Grobal2.pas	1319
SM	SM_HIT	14	14	0xE	server->client		Source/Common/Grobal2.pas	1320
SM	SM_HEAVYHIT	15	15	0xF	server->client		Source/Common/Grobal2.pas	1321
SM	SM_BIGHIT	16	16	0x10	server->client		Source/Common/Grobal2.pas	1322
SM	SM_SPELL	17	17	0x11	server->client		Source/Common/Grobal2.pas	1323
SM	SM_POWERHIT	18	18	0x12	server->client		Source/Common/Grobal2.pas	1324
SM	SM_LONGHIT	19	19	0x13	server->client	더 세게 때림	Source/Common/Grobal2.pas	1325
SM	SM_DIGUP	20	20	0x14	server->client	땅파고 나오다.	Source/Common/Grobal2.pas	1326
SM	SM_DIGDOWN	21	21	0x15	server->client	땅파고 들어가 숨다.	Source/Common/Grobal2.pas	1327
SM	SM_FLYAXE	22	22	0x16	server->client		Source/Common/Grobal2.pas	1328
SM	SM_LIGHTING	23	23	0x17	server->client	마법 사용	Source/Common/Grobal2.pas	1329
SM	SM_WIDEHIT	24	24	0x18	server->client		Source/Common/Grobal2.pas	1330
SM	SM_ACTION_MAX	25	25	0x19	server->client		Source/Common/Grobal2.pas	1331
SM	SM_CROSSHIT	35	35	0x23	server->client	광풍참, 주변8타일 공격	Source/Common/Grobal2.pas	1334
SM	SM_TWINHIT	36	36	0x24	server->client	쌍룡참, 빠르게 2번 공격	Source/Common/Grobal2.pas	1335
SM	SM_STONEHIT	37	37	0x25	server->client	사자후, 주변8타일 돌로만듬	Source/Common/Grobal2.pas	1336
SM	SM_WINDCUT	38	38	0x26	server->client	공파섬,  앞타일 9개 공격	Source/Common/Grobal2.pas	1337
SM	SM_DRAGONFIRE	39	39	0x27	server->client	천룡기염(화룡기염)  자신주변 타일 25개 공격	Source/Common/Grobal2.pas	1338
SM	SM_CURSE	40	40	0x28	server->client	저주술	Source/Common/Grobal2.pas	1339
SM	SM_PULLMON	41	41	0x29	server->client	포승검, 끌어당김	Source/Common/Grobal2.pas	1341
SM	SM_SUCKBLOOD	42	42	0x2A	server->client	흡혈술, 피를 빨아들임	Source/Common/Grobal2.pas	1342
SM	SM_BLINDMON	43	43	0x2B	server->client	맹안술, 적의 시야를 가림	Source/Common/Grobal2.pas	1343
SM	SM_DRAGON_LIGHTING	80	80	0x50	server->client		Source/Common/Grobal2.pas	1357
SM	SM_DRAGON_FIRE1	81	81	0x51	server->client		Source/Common/Grobal2.pas	1358
SM	SM_DRAGON_FIRE2	82	82	0x52	server->client		Source/Common/Grobal2.pas	1359
SM	SM_DRAGON_FIRE3	83	83	0x53	server->client		Source/Common/Grobal2.pas	1360
SM	SM_DRAGON_STRUCK	85	85	0x55	server->client		Source/Common/Grobal2.pas	1362
SM	SM_DRAGON_DROPITEM	86	86	0x56	server->client		Source/Common/Grobal2.pas	1363
SM	SM_LIGHTING_1	87	87	0x57	server->client	마법_1:이무기 멸천화	Source/Common/Grobal2.pas	1364
SM	SM_LIGHTING_2	88	88	0x58	server->client		Source/Common/Grobal2.pas	1365
SM	SM_LIGHTING_3	89	89	0x59	server->client	현무현신	Source/Common/Grobal2.pas	1366
SM	SM_ACTION2_MIN	1000	1000	0x3E8	server->client		Source/Common/Grobal2.pas	1385
SM	SM_ACTION2_MAX	1099	1099	0x44B	server->client		Source/Common/Grobal2.pas	1388
SM	SM_DIE	26	26	0x1A	server->client	사라 짐	Source/Common/Grobal2.pas	1390
SM	SM_ALIVE	27	27	0x1B	server->client		Source/Common/Grobal2.pas	1391
SM	SM_MOVEFAIL	28	28	0x1C	server->client		Source/Common/Grobal2.pas	1392
SM	SM_HIDE	29	29	0x1D	server->client		Source/Common/Grobal2.pas	1393
SM	SM_DISAPPEAR	30	30	0x1E	server->client		Source/Common/Grobal2.pas	1394
SM	SM_STRUCK	31	31	0x1F	server->client		Source/Common/Grobal2.pas	1395
SM	SM_DEATH	32	32	0x20	server->client		Source/Common/Grobal2.pas	1396
SM	SM_SKELETON	33	33	0x21	server->client		Source/Common/Grobal2.pas	1397
SM	SM_NOWDEATH	34	34	0x22	server->client		Source/Common/Grobal2.pas	1398
SM	SM_HEAR	40	40	0x28	server->client		Source/Common/Grobal2.pas	1400
SM	SM_FEATURECHANGED	41	41	0x29	server->client		Source/Common/Grobal2.pas	1401
SM	SM_USERNAME	42	42	0x2A	server->client		Source/Common/Grobal2.pas	1402
SM	SM_WINEXP	44	44	0x2C	server->client		Source/Common/Grobal2.pas	1403
SM	SM_LEVELUP	45	45	0x2D	server->client		Source/Common/Grobal2.pas	1404
SM	SM_DAYCHANGING	46	46	0x2E	server->client		Source/Common/Grobal2.pas	1405
SM	SM_POWERUP	47	47	0x2F	server->client	屆꼈��	Source/Common/Grobal2.pas	1406
SM	SM_LOGON	50	50	0x32	server->client		Source/Common/Grobal2.pas	1408
SM	SM_NEWMAP	51	51	0x33	server->client		Source/Common/Grobal2.pas	1409
SM	SM_ABILITY	52	52	0x34	server->client		Source/Common/Grobal2.pas	1410
SM	SM_HEALTHSPELLCHANGED	53	53	0x35	server->client		Source/Common/Grobal2.pas	1411
SM	SM_MAPDESCRIPTION	54	54	0x36	server->client		Source/Common/Grobal2.pas	1412
SM	SM_CHANGEFAMEPOINT	55	55	0x37	server->client	명성치 변화(2004/11/04)	Source/Common/Grobal2.pas	1414
SM	SM_SYSMESSAGE	100	100	0x64	server->client		Source/Common/Grobal2.pas	1416
SM	SM_GROUPMESSAGE	101	101	0x65	server->client		Source/Common/Grobal2.pas	1417
SM	SM_CRY	102	102	0x66	server->client		Source/Common/Grobal2.pas	1418
SM	SM_WHISPER	103	103	0x67	server->client		Source/Common/Grobal2.pas	1419
SM	SM_GUILDMESSAGE	104	104	0x68	server->client		Source/Common/Grobal2.pas	1420
SM	SM_SYSMSG_REMARK	105	105	0x69	server->client		Source/Common/Grobal2.pas	1421
