macro	script_count	in_source	src_file	src_line
{}FCOLOR	1257	**NO**		
{}NPCIMG	373	**NO**		
{}RENTFARE	44	**NO**		
{}FARE	27	**NO**		
{}DESTINATION	26	**NO**		
{}POSITION	26	**NO**		
{}WEDDING	24	**NO**		
{}TIME	23	**NO**		
{}RENTHOUR	22	**NO**		
{}WEDDING_TUDI	22	**NO**		
{}GOLD	15	**NO**		
{}EVENT	14	**NO**		
$USERNAME	13	yes	GameServer/ObjNpc.pas	531
{}SHIFUNAME	10	**NO**		
{}AI	9	**NO**		
{}TRY_TUDI	9	**NO**		
{}OPEN	8	**NO**		
{}TRY	8	**NO**		
{}SHIFU	8	**NO**		
{}TUDINAME	7	**NO**		
{}MAN	6	**NO**		
{}MANNAME	6	**NO**		
{}START_TUDI	6	**NO**		
{}TIME_TUDI	6	**NO**		
{}WAITOUT	6	**NO**		
{}TUDI	6	**NO**		
{}INPUTTUDINAME	6	**NO**		
{}FINISH	5	**NO**		
{}START	5	**NO**		
{}WAITINGTIMEOUT	5	**NO**		
{}INPUTGIRLNAME	5	**NO**		
$GUILD	4	**NO**		
{}GIRL	4	**NO**		
{}COUNT	3	**NO**		
{}ANSWER	3	**NO**		
{}PROB	3	**NO**		
{}GIRLNAME	3	**NO**		
{}TYPE	2	**NO**		
{}ATOM	2	**NO**		
{}USERCOUNT	1	**NO**		
{}USERNANE	1	**NO**		
$INPUTSTR	1	**NO**		
$CS_SABUK_OWNER	1	**NO**		
