kind	name	value	hex	keyword	comment	src_line
action	QA_SET	1	0x1		101이상	2513
action	QA_TAKE	2	0x2	TAKE	아이템을 받다	2514
action	QA_GIVE	3	0x3	GIVE		2515
action	QA_TAKEW	4	0x4	TAKEW	착용하고 있는 아이템을 받다	2516
action	QA_CLOSE	5	0x5	CLOSE	대화창을 닫음	2517
action	QA_RESET	6	0x6			2518
action	QA_OPENUNIT	7	0x7			2519
action	QA_SETUNIT	8	0x8		유닛셋  1..100	2520
action	QA_RESETUNIT	9	0x9		유닛리셋   1..100	2521
action	QA_BREAK	10	0xA	BREAK		2522
action	QA_TIMERECALL	11	0xB	TIMERECALL	지정된 시간이 지나면 현재 장소로 소환 된다.	2523
action	QA_PARAM1	12	0xC	PARAM1		2524
action	QA_PARAM2	13	0xD	PARAM2		2525
action	QA_PARAM3	14	0xE	PARAM3		2526
action	QA_PARAM4	15	0xF	PARAM4		2527
action	QA_MAPMOVE	20	0x14	MAPMOVE		2528
action	QA_MAPRANDOM	21	0x15	MAP		2529
action	QA_TAKECHECKITEM	22	0x16	TAKECHECKITEM	CHECK항목에서 검사된 아이템을 받는다.	2530
action	QA_MONGEN	23	0x17	MONGEN	몬스터를 젠시킴	2531
action	QA_MONCLEAR	24	0x18	MONCLEAR	몬스터를 모두 제거 시킨다	2532
action	QA_MOV	25	0x19	MOV		2533
action	QA_INC	26	0x1A	INC		2534
action	QA_DEC	27	0x1B	DEC		2535
action	QA_SUM	28	0x1C	SUM	SUM P1 P2 //P9 = P1 + P2	2536
action	QA_BREAKTIMERECALL	29	0x1D	BREAKTIMERECALL		2537
action	QA_TIMERECALLGROUP	30	0x1E	TIMERECALLGROUP	지정된 시간이 지나면 그룹 전체가 현재 장소로 소환 된다.	2538
action	QA_CLOSENOINVEN	31	0x1F	CLOSENOINVEN	대화창을 닫음(인벤창은 건드리지 않음)	2539
action	QA_MOVRANDOM	50	0x32	MOVR	MOVR	2541
action	QA_EXCHANGEMAP	51	0x33	EXCHANGEMAP	EXCHANGEMAP R001  //R001에 있는 한 사람과 자리를 바꾼다.	2542
action	QA_RECALLMAP	52	0x34	RECALLMAP	RECALLMAP R001  //R001에 있는 사람들을 모두 소환 한다.	2543
action	QA_ADDBATCH	53	0x35	ADDBATCH		2544
action	QA_BATCHDELAY	54	0x36	BATCHDELAY		2545
action	QA_BATCHMOVE	55	0x37	BATCHMOVE		2546
action	QA_PLAYDICE	56	0x38	PLAYDICE	PLAYDICE 2 @diceresult //2개의 주사위를 굴린다. 그후 @diceresult 세션으로 간다	2547
action	QA_ADDNAMELIST	57	0x39			2549
action	QA_DELETENAMELIST	58	0x3A	DELNAMELIST		2550
action	QA_PLAYROCK	59	0x3B	PLAYROCK	PLAYDICE 2 @diceresult //2개의 주사위를 굴린다. 그후 @diceresult 세션으로 간다	2551
action	QA_RANDOMSETDAILYQUEST	60	0x3C	RANDOMSETDAILYQUEST	파라메터,  최소, 최대  예) 401 450  401에서 450번까지 랜덤으로 설정	2553
action	QA_SETDAILYQUEST	61	0x3D	SETDAILYQUEST		2554
action	QA_GIVEEXP	63	0x3F	GIVEEXP	경험치 주기(이벤트 종료후 기능 삭제)	2556
action	QA_TAKEGRADEITEM	70	0x46	TAKEGRADEITEM		2558
action	QA_GOTOQUEST	100	0x64	GOQUEST		2560
action	QA_ENDQUEST	101	0x65	ENDQUEST		2561
action	QA_GOTO	102	0x66	GOTO		2562
action	QA_SOUND	103	0x67	SOUND		2563
