array	table_hint	field	type	primary	size	src_line
__CHAR_INFOFIELDS	TBL_CHAR_INFO	FLD_CHARACTER	TABLETYPE_STR	true	20	7
__CHAR_INFOFIELDS	TBL_CHAR_INFO	FLD_SERVERNAME	TABLETYPE_STR	false	9	8
__CHAR_INFOFIELDS	TBL_CHAR_INFO	FLD_JOB	TABLETYPE_INT	false	4	9
__CHAR_INFOFIELDS	TBL_CHAR_INFO	FLD_SEX	TABLETYPE_INT	false	4	10
__ABILITYFIELDS	TBL_ABILITY	FLD_LEVEL	TABLETYPE_INT	false	4	14
__ABILITYFIELDS	TBL_ABILITY	FLD_RESERVED1	TABLETYPE_INT	false	4	15
__ABILITYFIELDS	TBL_ABILITY	FLD_AC	TABLETYPE_INT	false	4	16
__ABILITYFIELDS	TBL_ABILITY	FLD_MAC	TABLETYPE_INT	false	4	17
__ABILITYFIELDS	TBL_ABILITY	FLD_DC	TABLETYPE_INT	false	4	18
__ABILITYFIELDS	TBL_ABILITY	FLD_MC	TABLETYPE_INT	false	4	19
__ABILITYFIELDS	TBL_ABILITY	FLD_SC	TABLETYPE_INT	false	4	20
__ABILITYFIELDS	TBL_ABILITY	FLD_HP	TABLETYPE_INT	false	4	21
__ABILITYFIELDS	TBL_ABILITY	FLD_MP	TABLETYPE_INT	false	4	22
__ABILITYFIELDS	TBL_ABILITY	FLD_MAXHP	TABLETYPE_INT	false	4	23
__ABILITYFIELDS	TBL_ABILITY	FLD_MAXMP	TABLETYPE_INT	false	4	24
__ABILITYFIELDS	TBL_ABILITY	FLD_EXP	TABLETYPE_INT	false	4	25
__ABILITYFIELDS	TBL_ABILITY	FLD_MAXEXP	TABLETYPE_INT	false	4	26
__ABILITYFIELDS	TBL_ABILITY	FLD_WEIGHT	TABLETYPE_INT	false	4	27
__ABILITYFIELDS	TBL_ABILITY	FLD_MAXWEIGHT	TABLETYPE_INT	false	4	28
__ABILITYFIELDS	TBL_ABILITY	FLD_WEARWEIGHT	TABLETYPE_INT	false	4	29
__ABILITYFIELDS	TBL_ABILITY	FLD_MAXWEARWEIGHT	TABLETYPE_INT	false	4	30
__ABILITYFIELDS	TBL_ABILITY	FLD_HANDWEIGHT	TABLETYPE_INT	false	4	31
__ABILITYFIELDS	TBL_ABILITY	FLD_MAXHANDWEIGHT	TABLETYPE_INT	false	4	32
__ABILITYFIELDS	TBL_ABILITY	FLD_ATOMFIRE_MC	TABLETYPE_INT	false	4	33
__ABILITYFIELDS	TBL_ABILITY	FLD_ATOMICE_MC	TABLETYPE_INT	false	4	34
__ABILITYFIELDS	TBL_ABILITY	FLD_ATOMLIGHT_MC	TABLETYPE_INT	false	4	35
__ABILITYFIELDS	TBL_ABILITY	FLD_ATOMWIND_MC	TABLETYPE_INT	false	4	36
__ABILITYFIELDS	TBL_ABILITY	FLD_ATOMHOLY_MC	TABLETYPE_INT	false	4	37
__ABILITYFIELDS	TBL_ABILITY	FLD_ATOMDARK_MC	TABLETYPE_INT	false	4	38
__ABILITYFIELDS	TBL_ABILITY	FLD_ATOMPHANTOM_MC	TABLETYPE_INT	false	4	39
__ABILITYFIELDS	TBL_ABILITY	FLD_ATOMFIRE_MAC	TABLETYPE_INT	false	4	40
__ABILITYFIELDS	TBL_ABILITY	FLD_ATOMICE_MAC	TABLETYPE_INT	false	4	41
__ABILITYFIELDS	TBL_ABILITY	FLD_ATOMLIGHT_MAC	TABLETYPE_INT	false	4	42
__ABILITYFIELDS	TBL_ABILITY	FLD_ATOMWIND_MAC	TABLETYPE_INT	false	4	43
__ABILITYFIELDS	TBL_ABILITY	FLD_ATOMHOLY_MAC	TABLETYPE_INT	false	4	44
__ABILITYFIELDS	TBL_ABILITY	FLD_ATOMDARK_MAC	TABLETYPE_INT	false	4	45
__ABILITYFIELDS	TBL_ABILITY	FLD_ATOMPHANTOM_MAC	TABLETYPE_INT	false	4	46
__BONUSABILITYFIELDS	TBL_BONUSABILITY	FLD_DC	TABLETYPE_INT	false	0	50
__BONUSABILITYFIELDS	TBL_BONUSABILITY	FLD_MC	TABLETYPE_INT	false	0	51
__BONUSABILITYFIELDS	TBL_BONUSABILITY	FLD_SC	TABLETYPE_INT	false	0	52
__BONUSABILITYFIELDS	TBL_BONUSABILITY	FLD_AC	TABLETYPE_INT	false	0	53
__BONUSABILITYFIELDS	TBL_BONUSABILITY	FLD_MAC	TABLETYPE_INT	false	0	54
__BONUSABILITYFIELDS	TBL_BONUSABILITY	FLD_HP	TABLETYPE_INT	false	0	55
__BONUSABILITYFIELDS	TBL_BONUSABILITY	FLD_MP	TABLETYPE_INT	false	0	56
__BONUSABILITYFIELDS	TBL_BONUSABILITY	FLD_HIT	TABLETYPE_INT	false	0	57
__BONUSABILITYFIELDS	TBL_BONUSABILITY	FLD_SPEED	TABLETYPE_INT	false	0	58
__BONUSABILITYFIELDS	TBL_BONUSABILITY	FLD_RESERVED	TABLETYPE_INT	false	0	59
__CHARACTERFIELDS	TBL_CHARACTER	FLD_USERID	TABLETYPE_STR	true	20	63
__CHARACTERFIELDS	TBL_CHARACTER	FLD_DELETED	TABLETYPE_INT	false	4	64
__CHARACTERFIELDS	TBL_CHARACTER	FLD_UPDATEDATETIME	TABLETYPE_DAT	false	0	65
__CHARACTERFIELDS	TBL_CHARACTER	FLD_DBVERSION	TABLETYPE_INT	false	4	66
__CHARACTERFIELDS	TBL_CHARACTER	FLD_MAPNAME	TABLETYPE_STR	false	20	67
__CHARACTERFIELDS	TBL_CHARACTER	FLD_CX	TABLETYPE_INT	false	4	68
__CHARACTERFIELDS	TBL_CHARACTER	FLD_CY	TABLETYPE_INT	false	4	69
__CHARACTERFIELDS	TBL_CHARACTER	FLD_DIR	TABLETYPE_INT	false	4	70
__CHARACTERFIELDS	TBL_CHARACTER	FLD_HAIR	TABLETYPE_INT	false	4	71
__CHARACTERFIELDS	TBL_CHARACTER	FLD_HAIRCOLORR	TABLETYPE_INT	false	4	72
__CHARACTERFIELDS	TBL_CHARACTER	FLD_HAIRCOLORG	TABLETYPE_INT	false	4	73
__CHARACTERFIELDS	TBL_CHARACTER	FLD_HAIRCOLORB	TABLETYPE_INT	false	4	74
__CHARACTERFIELDS	TBL_CHARACTER	FLD_SEX	TABLETYPE_INT	false	4	75
__CHARACTERFIELDS	TBL_CHARACTER	FLD_JOB	TABLETYPE_INT	false	4	76
