;----------------------------------------------
;!LEVEL n
;!EXP exp
;!DROPMAP n
;!DROPAREA x, y, x1, y1
;----------------------------------------------
;name, firstrate, secondrate, amount, dropcount

!LEVEL 1
!EXP 30000
!DROPMAP D2083
!DROPAREA 80 47 80 47
½ð±Ò 1 30000 1 3
BenedictionOil 1 1 1 1
Sunpotion(M) 1 1 1 4
BlackironHelm 1 40 1 1
HelmetOfHero 1 300 1 1	
GreatHelmet 1 74 1 1	
WiseCoronet 1 74 1 1	
TaoCoronet 1 74 1 1	
HeroNecklace 1 74 1 1
PowerRing 1 65 1 1
TitanRing 1 65 1 1
VioletRing 1 65 1 1	
AdamantineNeck 1 74 1 1 	
RequiemNecklace 1 74 1 1	
SkillNecklace 1 294 1 1	
8TrigramWheel 1 74 1 1	
HangMaWheel 1 74 1 1	
BokMaWheel 1 674 1 1
BaekTaGlove 1 74 1 1	
SpiritReformer 1 74 1 1	
HolyTaoWheel 1 74 1 1	
BoundlessRing 1 94 1 1	
OmaSpiritRing 1 94 1 1	
ThunderRing 1 64 1 1	
NobleRing 1 74 1 1	
SoulRing 1 74 1 1
TaeGukRing 1 74 1 1
HolyDCStone 1 80 1 1
HolyMCStone 1 80 1 1
HolyTaoStone 1 80 1 1
(MP)DrugBundXL 1 1 1 2
(HP)DrugBundXL 1 1 1 2
MagicGem 1 5 1 1
BraveryGem 1 5 1 1
SoulGem 1 5 1 1
MagicGem 1 5 1 1
DisillusionGem 1 5 1 1
EnduranceGem 1 5 1 1
ProtectionGem 1 5 1 1
AccuracyGem 1 5 1 1
EvilSlayerGem 1 5 1 1
AgilityGem 1 5 1 1
MirRing 1 1000 1 1
MirWheel 1 1000 1 1
MirNecklace 1 1000 1 1
MirHelmet 1 1000 1 1
MirSword 1 1000 1 1
MirArmour(M) 1 1000 1 1
MirArmour(F) 1 1000 1 1
MirBelt 1 1000 1 1
MirBoots 1 1000 1 1
TwinDrakeBlade 1 10 1 1
CrossHalfmoons 1 25 1 1
Flamedisruptor 1 25 1 1
SummonholyDeva  1 800 1 1
Flamefield 1 800 1 1
Mirroring 1 800 1 1
Curse 1 300 1 1
Lionroar 1 50 1 1
SwordOfWarGod 1 100 1 1
BladeofSorcery 1 100 1 1
HeavenSword 1 100 1 1
FreezingOrb 1 200 1 1
PoisonOrb 1 200 1 1
MagicOrb 1 100 1 1
SoulOrb 1 100 1 1
StormOrb 1 200 1 1
AccuracyOrb 1 200 1 1
AgilityOrb 1 200 1 1
BraveryOrb  1 200 1 1
ProtectionOrb 1 100 1 1
EvilSlayerOrb 1 100 1 1
EnergyRepulser 1 25 1 1
Entrapment 1 25 1 1
Purification 1 25 1 1
Vampirism 1 25 1 1
RevivalAmulet 1 5 1 1

!LEVEL 2
!EXP 35000
!DROPMAP D2083
!DROPAREA 80 47 80 47
BenedictionOil 1 1 1 1
Sunpotion(M) 1 1 1 4
emteleport 1 1 1 1
BlackironHelm 1 20 1 1
HelmetOfHero 1 10 1 1	
GreatHelmet 1 34 1 1	
WiseCoronet 1 34 1 1	
TaoCoronet 1 34 1 1	
HeroNecklace 1 34 1 1
PowerRing 1 35 1 1
TitanRing 1 35 1 1
VioletRing 1 35 1 1	
AdamantineNeck 1 34 1 1 	
RequiemNecklace 1 34 1 1	
SkillNecklace 1 294 1 1	
8TrigramWheel 1 64 1 1	
HangMaWheel 1 64 1 1	
BokMaWheel 1 64 1 1
BaekTaGlove 1 74 1 1	
SpiritReformer 1 74 1 1	
HolyTaoWheel 1 74 1 1	
BoundlessRing 1 64 1 1	
OmaSpiritRing 1 64 1 1	
ThunderRing 1 64 1 1	
NobleRing 1 74 1 1	
SoulRing 1 74 1 1
TaeGukRing 1 74 1 1
HolyDCStone 1 80 1 1
HolyMCStone 1 80 1 1
HolyTaoStone 1 80 1 1
(MP)DrugBundXL 1 1 1 2
(HP)DrugBundXL 1 1 1 2
MagicGem 1 5 1 1
BraveryGem 1 5 1 1
SoulGem 1 5 1 1
MagicGem 1 5 1 1
DisillusionGem 1 5 1 1
EnduranceGem 1 5 1 1
ProtectionGem 1 5 1 1
AccuracyGem 1 5 1 1
EvilSlayerGem 1 5 1 1
AgilityGem 1 5 1 1
CrossHalfmoons 1 125 1 1
Flamedisrupter 1 125 1 1
MirRing 1 900 1 1
MirWheel 1 900 1 1
MirNecklace 1 900 1 1
MirHelmet 1 900 1 1
MirSword 1 900 1 1
MirArmour(M) 1 900 1 1
MirArmour(F) 1 900 1 1
MirBelt 1 900 1 1
MirBoots 1 900 1 1
TwinDrakeBlade 1 10 1 1
CrossHalfmoons 1 25 1 1
Flamedisrupter 1 25 1 1
SummonholyDeva  1 800 1 1
Flamefield 1 800 1 1
Mirroring 1 800 1 1
Curse 1 300 1 1
Lionroar 1 50 1 1
SwordOfWarGod 1 200 1 1
BladeofSorcery 1 200 1 1
HeavenSword 1 200 1 1
FreezingOrb 1 200 1 1
PoisonOrb 1 200 1 1
MagicOrb 1 100 1 1
SoulOrb 1 100 1 1
StormOrb 1 200 1 1
AccuracyOrb 1 200 1 1
AgilityOrb 1 200 1 1
BraveryOrb  1 200 1 1
