;武器
%100
;手镯
+19
+20
+21
+22
+23
+24
+26
;对话框， '*' : 对话框 标签
[@main]
这里专门研究开发首饰品。\
同时也保管着各种各样的首饰品。\
不要以为这里是道馆，只有道士能用的东西，\
请挑选您需要的物品\ \ 
 <购买/@buy>饰品\
 <出售/@sell>饰品\
 <修理/@repair>饰品\
 <离开/@exit>\


[@buy]
这里有戒指，手镯，项链，您需要什么？\ \ \
 <返回/@main>\


[@sell]
如果您有多余的首饰品，可以卖给我。\ \ \
 <返回/@main>\


[@repair]
您需要修理哪件饰品？\ \ \
 <返回/@main>\


[~@repair]
已经修理好了。\ \ \
 <返回/@main>\

[goods]
;Name		Amount	Minute
玻璃戒指	200	1
古铜戒指	200	1
牛角戒指	200	1
六角戒指	200	1
蓝色水晶戒指	200	1
珍珠戒指	200	1
黑色水晶戒指	200	1
蛇眼戒指	200	1
金戒指		200	1
生铁戒指	200	1
铁手镯		200	1
小手镯		200	1
银手镯		200	1
大手镯 		200	1
钢手镯 		200	1
魔法手镯	200	1
道士手镯	200	1
黑檀手镯	200	1
铂金手镯	200	1
皮制手套	200	1
坚固手套	200	1
金项链		200	1
传统项链	200	1
黄色水晶项链	200	1
黑檀项链	200	1
黑色水晶项链	200	1
白色虎齿项链	200	1
灯笼项链	200	1
琥珀项链	200	1
魔鬼项链	200	1
凤凰明珠	200	1
