;;海メ盗
%200
+30
+0
+3

[@main]
;;------------------------------------------------------------------------------
;;------------------------------------------------------------------------------
;; Quest Separate Block
;;------------------------------------------------------------------------------
#IF
#ACT
goto @main_0_0


;;------------------------------------------------------------------------------
;;------------------------------------------------------------------------------
;; Npc Menu Block
;;------------------------------------------------------------------------------

[@main_0_0]
#SAY
	#INCLUDE [..\Convert_Def\Market_Def\04Potion_RedZone-81.txt] @NPC_Main

;----------------------------------------------------------

[@buy]
#SAY
	#INCLUDE [..\Convert_Def\Market_Def\04Potion_RedZone-81.txt] @NPC_Buy

[Goods]
;ItemName      Volume     Hour
蜡烛             50         1
火把             50         1
金创药（小）     50         1
魔法药（小）     50         1
金创药（中）     50         1
魔法药（中）     50         1
地牢逃脱卷       50         1
护身符（小）     50         1

[@Ghltod]
#CALL [Event\PotionEvent\PEvent.txt] @Event_Ghltod
