;;海メ盗
%100
+19
+20
+21
+22
+23
+24
+26

[@main]
;;------------------------------------------------------------------------------
;;------------------------------------------------------------------------------
;; Quest Separate Block
;;------------------------------------------------------------------------------
#IF
checkpkpoint 2
#SAY
	#INCLUDE [..\Convert_Def\Market_Def\08Accessory_Samak-5.txt] @NPC_RedPlayer
#ELSEACT
goto @main_0_0


;;------------------------------------------------------------------------------
;;------------------------------------------------------------------------------
;; Npc Menu Block
;;------------------------------------------------------------------------------

[@main_0_0]
#IF
#SAY
	#INCLUDE [..\Convert_Def\Market_Def\08Accessory_Samak-5.txt] @NPC_Main

;----------------------------------------------------------

[@buy]
#SAY
	#INCLUDE [..\Convert_Def\Market_Def\08Accessory_Samak-5.txt] @NPC_Buy

[@sell]
#SAY
	#INCLUDE [..\Convert_Def\Market_Def\08Accessory_Samak-5.txt] @NPC_Sell

[@repair]
#SAY
	#INCLUDE [..\Convert_Def\Market_Def\08Accessory_Samak-5.txt] @NPC_Repair

[~@repair]
#SAY
	#INCLUDE [..\Convert_Def\Market_Def\08Accessory_Samak-5.txt] @NPC_Repair_Complete

[Goods]
;ItemName      Volume     Hour
指环           100     1
牛角戒指       100     1
蓝色水晶戒指   100     1
金戒指         100     1
皮制手套       100     1
坚固手套       100     1
金项链         100     1
传统项链       100     1
灯笼项链       100     1
白色虎齿项链   100     1
铁手镯         100     1
小手镯         100     1
银手镯         100     1
钢手镯         100     1
大手镯         100     1
魔法手镯       100     1
金手镯         100     1
古铜戒指       100     1
黑色水晶戒指   100     1
黑珍珠戒指     100     1
黑色水晶项链   100     1
魔鬼项链       100     1
蓝翡翠项链     100     1
六绝星环       100     1
蛇眼戒指       100     1
魅力戒指       100     1
火玉戒指       100     1
黑檀项链       100     1
琥珀项链       100     1
放大镜         100     1
愤怒之钟       100     1
震天项链        50     1
五彩项链        50     1
黑檀手镯       100     1
思贝儿手镯      50     1
水晶魔戒       100     1
珍珠戒指       100     1
道德戒指       100     1
天鸣戒指       100     1
黄色水晶项链   100     1
松笛           100     1
凤凰明珠       100     1
莲花宝镜        50     1
银镜项链        50     1
道士手镯       100     1
三眼手镯       100     1


;;------------------------------------------------------------------------------
;;------------------------------------------------------------------------------
;; Area Quest Block
;;------------------------------------------------------------------------------

;;------------------------------------------------------------------------------
;;------------------------------------------------------------------------------
;; Daily Quest Block
;;------------------------------------------------------------------------------
