;;海メ盗
1/2   金币 250
1/20  黑铁
1/50   金矿
1/10  金创药（小）
1/40  魔法药（小）
1/20  金创药（中）
1/80  魔法药（中）
1/10  僵尸骨头
1/25   基本剑术（秘籍）
1/25   攻杀剑术（秘籍）
1/25   刺杀剑术（秘籍）
1/20   半月弯刀（秘籍）
1/25   火球术（秘籍）
1/25   霹雳掌（秘籍）
1/25   风掌（秘籍）
1/25   抗拒火环（秘籍）
1/25   诱惑之光（秘籍）
1/25   瞬息移动（秘籍）
1/25   大火球（秘籍）
1/25   雷电术（秘籍）
1/25   击风（秘籍）
1/25   地狱火（秘籍）
1/50   疾光电影（秘籍）
1/20   冰沙掌（秘籍）
1/30   风震天（秘籍）
1/25   冰月神掌（秘籍）
1/20   火墙（秘籍）
1/25   治愈术（秘籍）
1/25   精神力战法（秘籍）
1/25   施毒术（秘籍）
1/25   灵魂火符（秘籍）
1/25   月魂断玉（秘籍）
1/25   召唤骷髅（秘籍）
1/30   冰月震天（秘籍）
1/25   隐身术（秘籍）
1/25   困魔咒（秘籍）
1/20   幽灵盾（秘籍）
1/30   集体隐身术（秘籍）
1/30   月魂灵波（秘籍）
1/20   神圣战甲术（秘籍）
1/20   回城卷
