;;爆率
1/2	金币	3000
1/10	神灵雕像
1/200	攻击神水（特）
1/200	自然神水（特）
1/200	灵魂神水（特）
1/200	疾风神水（特）
1/200	体力强效神水（特）
1/200	魔力强效神水（特）
1/300	黑皮手套
1/300	震天项链
1/300	银镜项链
1/300	五彩项链
1/300	遗魂项链
1/300	勇士项链
1/300	天藤头盔
1/400	幸运降妖除魔戒指
1/400	恶魔长袍（男）
1/400	恶魔长袍（女）
1/400	战神盔甲（男）
1/400	战神盔甲（女）
1/400	幽灵战衣（男）
1/400	幽灵战衣（女）
1/600   幸运降妖除魔戒指
1/600  裁决之杖
1/600  无极棍
1/600  骨玉权杖
1/800  天极道衣（男）
1/800  天极道衣（女）
1/800  龙鳞战甲（男）
1/800  龙鳞战甲（女）
1/800  袁灵法衣（男）
1/800  袁灵法衣（女）
1/1000  旋风流星刀
1/1000  封魔剑
1/1000  飞魂魔刃



