;;爆率
1/2	金币	3000
1/10	神灵雕像
1/100	黑皮手套
1/100	震天项链
1/100	银镜项链
1/100	五彩项链
1/100	遗魂项链
1/100	勇士项链
1/100	天藤头盔
1/200	攻击神水（特）
1/200	自然神水（特）
1/200	灵魂神水（特）
1/200	疾风神水（特）
1/200	体力强效神水（特）
1/200	魔力强效神水（特）
1/300	幸运降妖除魔戒指
1/300	恶魔长袍（男）
1/300	恶魔长袍（女）
1/300	战神盔甲（男）
1/300	战神盔甲（女）
1/300	幽灵战衣（男）
1/300	幽灵战衣（女）
1/400	五彩鞋
1/400	斗笠
1/400   幸运降妖除魔戒指
1/600  裁决之杖
1/600  无极棍
1/600  骨玉权杖
1/800  天极道衣（男）
1/800  天极道衣（女）
1/800  龙鳞战甲（男）
1/800  龙鳞战甲（女）
1/800  袁灵法衣（男）
1/800  袁灵法衣（女）
1/1000  旋风流星刀
1/1000  封魔剑
1/1000  飞魂魔刃
1/3000   麒麟宝铠（男）
1/3000   仙风神袍（男）
1/3000   阴阳圣衣（男）
1/3000   仙风神袍（女）
1/3000   阴阳圣衣（女）
1/3000   麒麟宝铠（女）
