;;爆率
1/2	金币	3500
1/10	神灵雕像
1/100	黑皮手套
1/100	震天项链
1/100	银镜项链
1/100	五彩项链
1/100	遗魂项链
1/100	勇士项链
1/100	天藤头盔
1/200	攻击神水（特）
1/200	自然神水（特）
1/200	灵魂神水（特）
1/200	疾风神水（特）
1/200	体力强效神水（特）
1/200	魔力强效神水（特）
1/300	幸运降妖除魔戒指
1/300	恶魔长袍（男）
1/300	恶魔长袍（女）
1/300	战神盔甲（男）
1/300	战神盔甲（女）
1/300	幽灵战衣（男）
1/300	幽灵战衣（女）
1/500   裁决之杖
1/500   无极棍
1/500   骨玉权杖
1/700   天极道衣（男）
1/700   天极道衣（女）
1/700   龙鳞战甲（男）
1/700   龙鳞战甲（女）
1/700   袁灵法衣（男）
1/700   袁灵法衣（女）
1/900   旋风流星刀
1/900   封魔剑
1/900   飞魂魔刃
1/2500   麒麟宝铠（男）
1/2500   仙风神袍（男）
1/2500   阴阳圣衣（男）
1/3000   仙风神袍（女）
1/3000   阴阳圣衣（女）
1/3000   麒麟宝铠（女）
