;;海メ盗
1/3   金币 300
1/10  金创药（小）
1/40  魔法药（小）
1/20  金创药（中）
1/80  魔法药（中）
1/10  号角
1/250    大手镯
1/250    道士手镯
1/250    黑檀手镯
1/250    魔法手镯
1/250    黑色水晶项链
1/250    黑檀项链
1/250    黄色水晶项链
1/250    青铜头盔
1/250    轻型盔甲（男）
1/250    轻型盔甲（女）
1/500    青铜斧
1/500    海魂
1/500    半月
1/500    珍珠戒指
1/500    蛇眼戒指
1/500    黑色水晶戒指
1/500    小手镯
1/500    灯笼项链
1/500    琥珀项链
1/500    魔鬼项链
1/500    真善项链
1/500    皮靴
1/500    魔法头盔
1/200    降魔
1/200    偃月
1/200    斩马刀
1/200    修罗
1/200    魅力戒指
1/200    道德戒指
1/200    珊瑚戒指
1/200    金戒指
1/200    坚固手套
1/200    道士头盔
