;;海メ盗
1/1    金币 2000
1/2    万年雪霜
1/2    万年雪霜
1/100   夜明珠
1/200   巨龙戒指
1/200   火玉戒指
1/200   天鸣戒指
1/200   金手镯
1/200   荣耀项链
1/300   死神手套
1/300   幽灵手套
1/300   愤怒之钟
1/300   莲花宝镜
1/300   幽灵项链
1/300   五彩鞋
1/500   斗笠
1/500   幸运降妖除魔戒指
1/500   黑皮手套
1/500   震天项链
1/500   银镜项链
1/500   五彩项链
1/500   遗魂项链
1/500   勇士项链
1/500   天藤头盔
1/700   血饮
1/700   无名刀
1/700   井中月
1/700   炼狱
1/700   潘夜无极棍
1/700   潘夜血饮
1/900   骑士手镯
1/900   龙之手镯
1/900   心灵手镯
1/1100   破坏项链
1/1100   昏暗风印
1/1100   怨恨项链
