;;海メ盗
1/1    金币 2000
1/2    万年雪霜
1/2    万年雪霜
1/100   夜明珠
1/300   巨龙戒指
1/300   火玉戒指
1/300   天鸣戒指
1/300   金手镯
1/300   死神手套
1/300   幽灵手套
1/300   荣耀项链
1/300   愤怒之钟
1/300   莲花宝镜
1/300   幽灵项链
1/400   银镜项链
1/400   五彩项链
1/400   遗魂项链
1/400   勇士项链
1/400   天藤头盔
1/600   五彩鞋
1/600   斗笠
1/600   幸运降妖除魔戒指
1/600   黑皮手套
1/600   震天项链
1/800   无名刀
1/800   井中月
1/800   炼狱
1/800   血饮
1/800   潘夜无极棍
1/800   潘夜血饮
1/1000   骑士手镯
1/1000   龙之手镯
1/1000   心灵手镯
1/1200   破坏项链
1/1200   昏暗风印
1/1200   怨恨项链
