;;海メ盗
1/4    金币  1500
1/10   夜明珠
1/500   巨龙戒指
1/500   火玉戒指
1/500   天鸣戒指
1/500   金手镯
1/600   死神手套
1/600   幽灵手套
1/600   荣耀项链
1/600   愤怒之钟
1/600   莲花宝镜
1/600   幽灵项链
1/600   五彩鞋
1/600   斗笠
1/600  幸运降妖除魔戒指
1/600  恶魔长袍（男）
1/600  恶魔长袍（女）
1/600  战神盔甲（男）
1/600  战神盔甲（女）
1/600  幽灵战衣（男）
1/600  幽灵战衣（女）
1/700   潘夜无极棍
1/700   潘夜血饮
1/700   震天项链
1/700   银镜项链
1/700   五彩项链
1/700   遗魂项链
1/700   勇士项链
1/800   天藤头盔
1/800   黑皮手套
1/800   炼狱
1/800   血饮
1/800   无名刀
1/800   井中月
1/900   骑士手镯
1/900   龙之手镯
1/900   心灵手镯
1/1000   破坏项链
1/1000   昏暗风印
1/1000   怨恨项链
