;;海メ盗
1/4    金币  1500
1/100   夜明珠
1/300   巨龙戒指
1/300   火玉戒指
1/300   天鸣戒指
1/300   金手镯
1/300   死神手套
1/300   幽灵手套
1/300   荣耀项链
1/300   愤怒之钟
1/300   莲花宝镜
1/300   幽灵项链
1/400   五彩鞋
1/400   斗笠
1/400  幸运降妖除魔戒指
1/400  恶魔长袍（男）
1/400  恶魔长袍（女）
1/400  战神盔甲（男）
1/400  战神盔甲（女）
1/400  幽灵战衣（男）
1/400  幽灵战衣（女）
1/500   黑皮手套
1/500   震天项链
1/500   银镜项链
1/500   五彩项链
1/500   遗魂项链
1/500   勇士项链
1/500   天藤头盔
1/700   炼狱
1/700   血饮
1/700   无名刀
1/700   井中月
1/800   骑士手镯
1/800   龙之手镯
1/800   心灵手镯
1/900   破坏项链
1/900   昏暗风印
1/900   怨恨项链
