;;海メ盗
1/4    金币  500
1/40   魔法药（中）
1/80   金创药（大）
1/10	夜明珠
1/200   巨龙戒指
1/200   火玉戒指
1/200   天鸣戒指
1/200   金手镯
1/200   死神手套
1/200   幽灵手套
1/200   荣耀项链
1/200   愤怒之钟
1/200   莲花宝镜
1/200   幽灵项链
1/200   五彩鞋
1/300   斗笠
1/300   黑皮手套
1/300   震天项链
1/300   银镜项链
1/300   五彩项链
1/300   遗魂项链
1/300   勇士项链
1/300   天藤头盔
1/400  幸运降妖除魔戒指
1/400  恶魔长袍（男）
1/400  恶魔长袍（女）
1/400  战神盔甲（男）
1/400  战神盔甲（女）
1/400  幽灵战衣（男）
1/400  幽灵战衣（女）
1/500  炼狱
1/500  井中月
1/500  无名刀
1/500  血饮
1/700  骑士手镯
1/700  龙之手镯
1/700  心灵手镯
1/900  破坏项链
1/900  昏暗风印
1/900  怨恨项链
