;;海メ盗
1/4    金币  1500
1/10   金创药（中）
1/20   魔法药（特）
1/100   巨龙戒指
1/100   火玉戒指
1/100   天鸣戒指
1/100   金手镯
1/100   死神手套
1/100   幽灵手套
1/200   荣耀项链
1/200   愤怒之钟
1/200   莲花宝镜
1/200   幽灵项链
1/300   五彩鞋
1/300   斗笠
1/300  幸运降妖除魔戒指
1/400  恶魔长袍（男）
1/400  恶魔长袍（女）
1/400  战神盔甲（男）
1/400  战神盔甲（女）
1/400  幽灵战衣（男）
1/400  幽灵战衣（女）
1/600   黑皮手套
1/600   震天项链
1/600   银镜项链
1/600   五彩项链
1/600   遗魂项链
1/600   勇士项链
1/600   天藤头盔
1/800   炼狱
1/800   潘夜无极棍
1/800   血饮
1/800   无名刀
1/800   井中月
1/900   骑士手镯
1/900   龙之手镯
1/900   心灵手镯
1/1000   破坏项链
1/1000   昏暗风印
1/1000   怨恨项链
