;;海メ盗
1/4    金币  1000
1/100   夜明珠
1/400   巨龙戒指
1/400   火玉戒指
1/400   天鸣戒指
1/400   金手镯
1/400   死神手套
1/400   幽灵手套
1/400   荣耀项链
1/400   愤怒之钟
1/400   莲花宝镜
1/400   幽灵项链
1/400   五彩鞋
1/400   斗笠
1/500  幸运降妖除魔戒指
1/500  恶魔长袍（男）
1/500  恶魔长袍（女）
1/500  战神盔甲（男）
1/500  战神盔甲（女）
1/500  幽灵战衣（男）
1/500  幽灵战衣（女）
1/600   黑皮手套
1/600   震天项链
1/600   银镜项链
1/600   五彩项链
1/600   遗魂项链
1/600   勇士项链
1/600   天藤头盔
1/700   炼狱
1/700   血饮
1/700   无名刀
1/700   井中月
1/800   骑士手镯
1/800   龙之手镯
1/800   心灵手镯
1/900   破坏项链
1/900   昏暗风印
1/900   怨恨项链
