;;海メ盗
1/4    金币  1500
1/100  夜明珠
1/400   巨龙戒指
1/400   火玉戒指
1/400   天鸣戒指
1/400   金手镯
1/700   死神手套
1/700   幽灵手套
1/700   荣耀项链
1/700   愤怒之钟
1/700   莲花宝镜
1/700   幽灵项链
1/700   五彩鞋
1/700   斗笠
1/800   黑皮手套
1/800   震天项链
1/800   银镜项链
1/800   五彩项链
1/800   遗魂项链
1/800   勇士项链
1/800   天藤头盔
1/1000  幸运降妖除魔戒指
1/1000  恶魔长袍（男）
1/1000  恶魔长袍（女）
1/1000  战神盔甲（男）
1/1000  战神盔甲（女）
1/1000  幽灵战衣（男）
1/1000  幽灵战衣（女）
1/1500  炼狱
1/1500   潘夜无极棍
1/1500  井中月
1/1500  无名刀
1/1500  血饮
1/2000  骑士手镯
1/2000  龙之手镯
1/2000  心灵手镯
1/2000  破坏项链
1/2000  昏暗风印
1/2000  怨恨项链
