;;海メ盗
1/4   金币  1000
1/10  遗物
1/40  万年雪霜
1/40  万年雪霜
1/100   黑皮手套
1/100   震天项链
1/100   银镜项链
1/100   五彩项链
1/100   遗魂项链
1/100   勇士项链
1/100   天藤头盔
1/200   幸运降妖除魔戒指
1/200   恶魔长袍（男）
1/200   恶魔长袍（女）
1/200   战神盔甲（男）
1/200   战神盔甲（女）
1/200   幽灵战衣（男）
1/200   幽灵战衣（女）
1/200  赤血宝剑
1/400  裁决之杖
1/400  无极棍
1/400  骨玉权杖
1/600  天极道衣（男）
1/600  天极道衣（女）
1/600  龙鳞战甲（男）
1/600  龙鳞战甲（女）
1/600  袁灵法衣（男）
1/600  袁灵法衣（女）
1/800  旋风流星刀
1/800  封魔剑
1/800  飞魂魔刃
1/800  破荒项链
1/800  魔云项链
1/800  定心项链
1/800  师承戒指
1/800  龙马戒指
1/800  青云戒指
1/900  魄冰刺（秘籍）
1/900  十方斩（秘籍）
1/900  云寂术（秘籍）
1/900  斗转星移（秘籍）
1/900  生锈破荒项链
1/900  生锈魔云项链
1/900  生锈定心项链
1/1000  移花接玉（秘籍）
1/1000  乾坤大挪移（秘籍）
1/1000  焰天火雨（秘籍）
1/1000  铁布衫（秘籍）
1/1000  怒神霹雳（秘籍）
1/1200  生锈师承戒指
1/1200  生锈龙马戒指
1/1200  生锈青云戒指
1/1500  阴阳法环（秘籍）
1/1500  破血狂杀（秘籍）
1/1500  凝血离魂（秘籍）
1/1500  妙影无踪（秘籍）
1/2500  世尊手镯
1/2500  金棱手镯
1/2500  思过手镯
