;;海メ盗
1/3	魔晶石
1/1	金币	40000
1/2	万年雪霜	2
1/2	万年雪霜	2
1/2	万年雪霜	2
1/10	祝福油
1/10	武器强化油
1/20	诅咒之药水
1/20	幸运降妖除魔戒指
1/20	恶魔长袍（男）
1/20	恶魔长袍（女）
1/20	战神盔甲（男）
1/20	战神盔甲（女）
1/20	幽灵战衣（男）
1/20	幽灵战衣（女）
1/50  魄冰刺（秘籍）
1/50  十方斩（秘籍）
1/50  云寂术（秘籍）
1/50  斗转星移（秘籍）
1/50  移花接玉（秘籍）
1/60  乾坤大挪移（秘籍）
1/60  焰天火雨（秘籍）
1/60  铁布衫（秘籍）
1/60  怒神霹雳（秘籍）
1/80  阴阳法环（秘籍）
1/80  破血狂杀（秘籍）
1/80  凝血离魂（秘籍）
1/80  妙影无踪（秘籍）
1/100	天极道衣（男）
1/100	天极道衣（女）
1/100	龙鳞战甲（男）
1/100	龙鳞战甲（女）
1/100	袁灵法衣（男）
1/100	袁灵法衣（女）
1/200   生锈师承戒指
1/200   生锈龙马戒指
1/200   生锈青云戒指
1/200   生锈破荒项链
1/200   生锈魔云项链
1/200   生锈定心项链
1/300   龙纹剑
1/300   嗜魂法杖
1/300   霹雷
1/400   世尊手镯
1/400   金棱手镯
1/400   思过手镯
1/500	屠龙
1/500	逍遥扇
1/500	铁轮
1/700   生锈金棱手镯
1/700   生锈思过手镯
1/700   生锈世尊手镯
1/900	破山剑
1/900	天神法杖
1/900	泰轮拂尘
1/1000	智慧之物
1/10000	正义之物
1/10000	节制之物
1/10000	决断之物
1/10000	神勇之物
