;;海メ盗
1/5   金币  1500
1/10  遗物
1/20  金创药（大）
1/20  魔法药（大）
1/40  万年雪霜
1/40  万年雪霜
1/150   黑皮手套
1/150   震天项链
1/150   银镜项链
1/150   五彩项链
1/150   遗魂项链
1/150   勇士项链
1/150   天藤头盔
1/200   幸运降妖除魔戒指
1/200   恶魔长袍（男）
1/200   恶魔长袍（女）
1/200   战神盔甲（男）
1/200   战神盔甲（女）
1/200   幽灵战衣（男）
1/200   幽灵战衣（女）
1/200  赤血宝剑
1/400  裁决之杖
1/400  无极棍
1/400  骨玉权杖
1/600  天极道衣（男）
1/600  天极道衣（女）
1/600  龙鳞战甲（男）
1/600  龙鳞战甲（女）
1/600  袁灵法衣（男）
1/600  袁灵法衣（女）
1/700  旋风流星刀
1/700  封魔剑
1/700  飞魂魔刃
1/700  破荒项链
1/700  魔云项链
1/700  定心项链
1/700  师承戒指
1/700  龙马戒指
1/700  青云戒指
1/800  魄冰刺（秘籍）
1/800  十方斩（秘籍）
1/800  云寂术（秘籍）
1/800  焰天火雨（秘籍）
1/900  斗转星移（秘籍）
1/900  移花接玉（秘籍）
1/900  乾坤大挪移（秘籍）
1/900  铁布衫（秘籍）
1/1200  生锈师承戒指
1/1200  生锈龙马戒指
1/1200  生锈青云戒指
1/1200  生锈破荒项链
1/1200  生锈魔云项链
1/1200  生锈定心项链
1/1500  怒神霹雳（秘籍）
1/1500  阴阳法环（秘籍）
1/1500  破血狂杀（秘籍）
1/1500  凝血离魂（秘籍）
1/1500  妙影无踪（秘籍）
1/3000  世尊手镯
1/3000  金棱手镯
1/3000  思过手镯
