;;海メ盗
1/1    金币 24000
1/2    万年雪霜
1/2    万年雪霜
1/5    金创药（特）
1/5    魔法药（特）
1/50   黑皮手套
1/50   震天项链
1/50   银镜项链
1/50   五彩项链
1/50   遗魂项链
1/50   勇士项链
1/50   天藤头盔
1/100   幸运降妖除魔戒指
1/100   恶魔长袍（男）
1/100   恶魔长袍（女）
1/100   战神盔甲（男）
1/100   战神盔甲（女）
1/100   幽灵战衣（男）
1/100   幽灵战衣（女）
1/200  裁决之杖
1/200  无极棍
1/200  骨玉权杖
1/200  赤血宝剑
1/300  天极道衣（男）
1/300  天极道衣（女）
1/300  龙鳞战甲（男）
1/300  龙鳞战甲（女）
1/300  袁灵法衣（男）
1/300  袁灵法衣（女）
1/400  旋风流星刀
1/400  封魔剑
1/400  飞魂魔刃
1/500  破荒项链
1/500  魔云项链
1/500  定心项链
1/500  龙马戒指
1/500  青云戒指
1/600  魄冰刺（秘籍）
1/600  十方斩（秘籍）
1/600  云寂术（秘籍）
1/600  斗转星移（秘籍）
1/600  移花接玉（秘籍）
1/600  乾坤大挪移（秘籍）
1/600  焰天火雨（秘籍）
1/600  铁布衫（秘籍）
1/700  生锈师承戒指
1/700  生锈龙马戒指
1/700  生锈青云戒指
1/700  生锈破荒项链
1/700  生锈魔云项链
1/700  生锈定心项链
1/900  怒神霹雳（秘籍）
1/900  阴阳法环（秘籍）
1/900  破血狂杀（秘籍）
1/900  凝血离魂（秘籍）
1/900  妙影无踪（秘籍）
1/2000  世尊手镯
1/2000  金棱手镯
1/2000  思过手镯
