;;海メ盗
1/10000   魔晶石
1/1    金币 22000
1/2    万年雪霜
1/2    万年雪霜
1/2    万年雪霜
1/2    万年雪霜
1/2    金创药（特）
1/2    金创药（特）
1/2    金创药（特）
1/2    魔法药（特）
1/2    魔法药（特）
1/2    魔法药（特）
1/10   黑皮手套
1/10   震天项链
1/10   银镜项链
1/10   五彩项链
1/10   遗魂项链
1/10   勇士项链
1/10   天藤头盔
1/50   幸运降妖除魔戒指
1/50   恶魔长袍（男）
1/50   恶魔长袍（女）
1/50   战神盔甲（男）
1/50   战神盔甲（女）
1/50   幽灵战衣（男）
1/50   幽灵战衣（女）
1/200  天极道衣（男）
1/200  天极道衣（女）
1/200  龙鳞战甲（男）
1/200  龙鳞战甲（女）
1/200  袁灵法衣（男）
1/200  袁灵法衣（女）
1/400   帝王戒指
1/400   雷神戒指
1/400   润神戒指
1/400   阎罗手套
1/600   黑铁头盔
1/600   赤飞靴子
1/600   天掌靴子
1/600   行者帽
1/600   霸龙头盔
